subPathwayID,interaction,pathwayID
R-HSA-9935598,abstraction:IsAComponentOf,R-HSA-9769739
R-HSA-210993,abstraction:IsAComponentOf,R-HSA-202733
R-HSA-210991,abstraction:IsAComponentOf,R-HSA-202733
R-HSA-210990,abstraction:IsAComponentOf,R-HSA-202733
R-HSA-75205,abstraction:IsAComponentOf,R-HSA-109582
R-HSA-983231,abstraction:IsAComponentOf,R-HSA-109582
R-HSA-76002,abstraction:IsAComponentOf,R-HSA-109582
R-HSA-202733,abstraction:IsAComponentOf,R-HSA-109582
R-HSA-418346,abstraction:IsAComponentOf,R-HSA-109582
R-HSA-75892,abstraction:IsAComponentOf,R-HSA-109582
R-HSA-9769740,abstraction:IsAComponentOf,R-HSA-109582
R-HSA-418457,abstraction:IsAComponentOf,R-HSA-392154
R-HSA-983189,abstraction:IsAComponentOf,R-HSA-983231
R-HSA-114608,abstraction:IsAComponentOf,R-HSA-76005
R-HSA-114516,abstraction:IsAComponentOf,R-HSA-76005
R-HSA-418360,abstraction:IsAComponentOf,R-HSA-418346
R-HSA-392851,abstraction:IsAComponentOf,R-HSA-418346
R-HSA-392154,abstraction:IsAComponentOf,R-HSA-418346
R-HSA-432142,abstraction:IsAComponentOf,R-HSA-418346
R-HSA-372708,abstraction:IsAComponentOf,R-HSA-354192
R-HSA-354194,abstraction:IsAComponentOf,R-HSA-354192
R-HSA-418592,abstraction:IsAComponentOf,R-HSA-392518
R-HSA-428930,abstraction:IsAComponentOf,R-HSA-392518
R-HSA-392170,abstraction:IsAComponentOf,R-HSA-392518
R-HSA-354192,abstraction:IsAComponentOf,R-HSA-76009
R-HSA-392023,abstraction:IsAComponentOf,R-HSA-76009
R-HSA-76009,abstraction:IsAComponentOf,R-HSA-76002
R-HSA-114604,abstraction:IsAComponentOf,R-HSA-76002
R-HSA-114508,abstraction:IsAComponentOf,R-HSA-76002
R-HSA-76005,abstraction:IsAComponentOf,R-HSA-76002
R-HSA-430116,abstraction:IsAComponentOf,R-HSA-76002
R-HSA-392518,abstraction:IsAComponentOf,R-HSA-76002
R-HSA-456926,abstraction:IsAComponentOf,R-HSA-76002
R-HSA-139853,abstraction:IsAComponentOf,R-HSA-418360
R-HSA-418359,abstraction:IsAComponentOf,R-HSA-418360
R-HSA-9769743,abstraction:IsAComponentOf,R-HSA-9769740
R-HSA-9769735,abstraction:IsAComponentOf,R-HSA-9769740
R-HSA-9769739,abstraction:IsAComponentOf,R-HSA-9769740
R-HSA-9769733,abstraction:IsAComponentOf,R-HSA-9769740
R-HSA-426048,abstraction:IsAComponentOf,R-HSA-114508
