pathwayID,interaction,nextPathwayID
R-HSA-418592,abstraction:NextStepPathway,R-HSA-432142
R-HSA-114608,abstraction:NextStepPathway,R-HSA-9769743
R-HSA-114608,abstraction:NextStepPathway,R-HSA-9769739
R-HSA-114608,abstraction:NextStepPathway,R-HSA-9769733
R-HSA-9769743,abstraction:NextStepPathway,R-HSA-9769735
R-HSA-9769743,abstraction:NextStepPathway,R-HSA-9769739
R-HSA-9769743,abstraction:NextStepPathway,R-HSA-9935598
R-HSA-9769743,abstraction:NextStepPathway,R-HSA-9769733
R-HSA-114604,abstraction:NextStepPathway,R-HSA-114508
R-HSA-114604,abstraction:NextStepPathway,R-HSA-76005
R-HSA-114604,abstraction:NextStepPathway,R-HSA-426048
R-HSA-9769735,abstraction:NextStepPathway,R-HSA-9769743
R-HSA-9769735,abstraction:NextStepPathway,R-HSA-9769739
R-HSA-9769735,abstraction:NextStepPathway,R-HSA-9769733
R-HSA-139853,abstraction:NextStepPathway,R-HSA-114508
R-HSA-139853,abstraction:NextStepPathway,R-HSA-76005
R-HSA-114508,abstraction:NextStepPathway,R-HSA-139853
R-HSA-114508,abstraction:NextStepPathway,R-HSA-76005
R-HSA-114508,abstraction:NextStepPathway,R-HSA-354192
R-HSA-76005,abstraction:NextStepPathway,R-HSA-114516
R-HSA-9769739,abstraction:NextStepPathway,R-HSA-202733
R-HSA-202733,abstraction:NextStepPathway,R-HSA-114604
R-HSA-202733,abstraction:NextStepPathway,R-HSA-9769739
R-HSA-210990,abstraction:NextStepPathway,R-HSA-432142
R-HSA-9935598,abstraction:NextStepPathway,R-HSA-9769743
R-HSA-9935598,abstraction:NextStepPathway,R-HSA-9769739
R-HSA-418346,abstraction:NextStepPathway,R-HSA-139853
R-HSA-354192,abstraction:NextStepPathway,R-HSA-372708
R-HSA-354192,abstraction:NextStepPathway,R-HSA-354194
R-HSA-75892,abstraction:NextStepPathway,R-HSA-114604
R-HSA-75892,abstraction:NextStepPathway,R-HSA-9769739
R-HSA-75892,abstraction:NextStepPathway,R-HSA-202733
R-HSA-392154,abstraction:NextStepPathway,R-HSA-418457
R-HSA-432142,abstraction:NextStepPathway,R-HSA-418592
R-HSA-432142,abstraction:NextStepPathway,R-HSA-210990
R-HSA-9769733,abstraction:NextStepPathway,R-HSA-75205
