source,interaction,target,weight
R-HSA-139910,abstraction:NextStepPathway,R-HSA-111453,1.2661033527549879
R-HSA-111452,abstraction:NextStepPathway,R-HSA-5620971,0.8603380065709937
R-HSA-111452,abstraction:NextStepPathway,R-HSA-111457,1.4044060509212692
R-HSA-111464,abstraction:NextStepPathway,R-HSA-111465,0.6740275823336264
R-HSA-111464,abstraction:NextStepPathway,R-HSA-264870,1.0770471165349391
R-HSA-111464,abstraction:NextStepPathway,R-HSA-140342,1.028742436960384
R-HSA-111464,abstraction:NextStepPathway,R-HSA-211736,1.4044060509212692
R-HSA-111464,abstraction:NextStepPathway,R-HSA-351906,1.0770471165349391
R-HSA-352238,abstraction:NextStepPathway,R-HSA-111465,0.7277124412964028
R-HSA-75153,abstraction:NextStepPathway,R-HSA-111465,0.5914926942784138
R-HSA-111459,abstraction:NextStepPathway,R-HSA-5620971,0.8161343440789403
R-HSA-111459,abstraction:NextStepPathway,R-HSA-111465,0.6842467475153124
R-HSA-111459,abstraction:NextStepPathway,R-HSA-264870,1.1033760552572882
R-HSA-111459,abstraction:NextStepPathway,R-HSA-140342,1.0522235328099068
R-HSA-111459,abstraction:NextStepPathway,R-HSA-111469,1.4044060509212692
R-HSA-111459,abstraction:NextStepPathway,R-HSA-211736,1.462397997898956
R-HSA-111459,abstraction:NextStepPathway,R-HSA-351906,1.1033760552572882
R-HSA-140534,abstraction:NextStepPathway,R-HSA-75153,0.4623979978989561
R-HSA-140534,abstraction:NextStepPathway,R-HSA-264870,0.8303747831935504
R-HSA-140534,abstraction:NextStepPathway,R-HSA-75108,0.9650733570910066
R-HSA-140534,abstraction:NextStepPathway,R-HSA-5675482,0.7054360465852505
R-HSA-5620971,abstraction:NextStepPathway,R-HSA-111458,0.7392943138462179
R-HSA-5620971,abstraction:NextStepPathway,R-HSA-111461,0.7277124412964028
R-HSA-5620971,abstraction:NextStepPathway,R-HSA-111471,0.6947121811934774
R-HSA-111465,abstraction:NextStepPathway,R-HSA-75153,0.5914926942784138
R-HSA-139915,abstraction:NextStepPathway,R-HSA-111453,1.0770471165349391
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111458,1.1033760552572882
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111469,1.2283147918655881
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111461,1.0522235328099068
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111471,1.0064660422492318
R-HSA-111457,abstraction:NextStepPathway,R-HSA-111463,1.2283147918655881
R-HSA-111458,abstraction:NextStepPathway,R-HSA-9627069,1.2661033527549879
R-HSA-111458,abstraction:NextStepPathway,R-HSA-111459,1.193552685606376
R-HSA-69416,abstraction:NextStepPathway,R-HSA-140534,1.028742436960384
R-HSA-114294,abstraction:NextStepPathway,R-HSA-5620971,0.8603380065709937
R-HSA-114294,abstraction:NextStepPathway,R-HSA-111457,1.4044060509212692
R-HSA-75108,abstraction:NextStepPathway,R-HSA-111452,1.608526033577194
R-HSA-75108,abstraction:NextStepPathway,R-HSA-5620971,0.8303747831935504
R-HSA-75108,abstraction:NextStepPathway,R-HSA-111457,1.2661033527549879
R-HSA-75108,abstraction:NextStepPathway,R-HSA-114294,1.608526033577194
R-HSA-75108,abstraction:NextStepPathway,R-HSA-111453,1.2283147918655881
R-HSA-5213460,abstraction:NextStepPathway,R-HSA-5675482,0.7634279935629372
R-HSA-111453,abstraction:NextStepPathway,R-HSA-111447,0.9852767431792937
R-HSA-211736,abstraction:NextStepPathway,R-HSA-211728,1.8303747831935504
R-HSA-211736,abstraction:NextStepPathway,R-HSA-211733,0.7277124412964028
R-HSA-111448,abstraction:NextStepPathway,R-HSA-111453,1.193552685606376
R-HSA-418889,abstraction:NextStepPathway,R-HSA-5620971,0.7511935371459256
R-HSA-418889,abstraction:NextStepPathway,R-HSA-111465,0.6353981799774955
R-HSA-418889,abstraction:NextStepPathway,R-HSA-264870,0.9852767431792937
R-HSA-418889,abstraction:NextStepPathway,R-HSA-140342,0.9650733570910066
R-HSA-418889,abstraction:NextStepPathway,R-HSA-211736,1.2661033527549879
R-HSA-418889,abstraction:NextStepPathway,R-HSA-351906,1.0064660422492318
R-HSA-111463,abstraction:NextStepPathway,R-HSA-111464,1.462397997898956
R-HSA-111463,abstraction:NextStepPathway,R-HSA-351906,1.0770471165349391
R-HSA-111446,abstraction:NextStepPathway,R-HSA-111453,1.2661033527549879
R-HSA-111447,abstraction:NextStepPathway,R-HSA-111453,0.9852767431792937
