source,interaction,target,weight
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-1257604,1.6403773795319605
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-5654689,2.6057358938767465
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-5654710,2.6356991172541897
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-6811558,1.9824866034788462
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-5654720,2.620459150697453
R-HSA-9858328,abstraction:NextStepPathway,R-HSA-71064,3.0036759025487845
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-111997,2.429644634821065
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2514859,2.4493886930168225
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-4086398,2.2835165991428275
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-111932,2.781827152932428
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-1489509,2.4107592906606916
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-5218920,2.49179254156991
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2029485,2.000071778279959
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-9664323,1.9557523502316014
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-5578775,2.319429155033472
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-442720,2.740434467774203
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-9942503,2.740434467774203
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-1169091,2.2699437919535534
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-111933,2.429644634821065
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-180024,2.5914954547621365
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-422356,2.1483586973528412
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-9856530,2.1797671616044654
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-112043,2.342494459102165
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-111957,2.936729112918171
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2025928,2.968913796289572
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-5627123,2.5914954547621365
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-442982,2.5914954547621365
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-203615,2.721129312578816
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-9620244,2.5387891042461335
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-5218921,2.6678838006255914
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-445355,2.36685380496161
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-983695,2.0785357748137665
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-442729,2.827584643493103
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2871809,2.0259522972599364
R-HSA-205017,abstraction:NextStepPathway,R-HSA-209543,2.906765889540728
R-HSA-205017,abstraction:NextStepPathway,R-HSA-193648,2.3047058982127653
R-HSA-205017,abstraction:NextStepPathway,R-HSA-205043,2.852408227218135
R-HSA-205017,abstraction:NextStepPathway,R-HSA-193681,3.4807971572684466
R-HSA-202430,abstraction:NextStepPathway,R-HSA-202433,2.459607858198509
R-HSA-9796292,abstraction:NextStepPathway,R-HSA-9823730,2.702645906884803
R-HSA-112409,abstraction:NextStepPathway,R-HSA-8940973,2.4107592906606916
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5654733,2.36685380496161
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5675221,2.3504633887734405
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5673001,1.6295388085493714
R-HSA-112409,abstraction:NextStepPathway,R-HSA-2871796,1.9429780621951727
R-HSA-112409,abstraction:NextStepPathway,R-HSA-444257,2.620459150697453
R-HSA-112409,abstraction:NextStepPathway,R-HSA-375165,2.174372129717759
R-HSA-112409,abstraction:NextStepPathway,R-HSA-2559580,2.0221593082427973
R-HSA-112409,abstraction:NextStepPathway,R-HSA-881907,2.4700732918766737
R-HSA-112409,abstraction:NextStepPathway,R-HSA-170968,2.577707170276503
R-HSA-112409,abstraction:NextStepPathway,R-HSA-198753,2.4700732918766737
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5654726,2.3346691215902085
R-HSA-112409,abstraction:NextStepPathway,R-HSA-2559582,2.0785357748137665
R-HSA-112409,abstraction:NextStepPathway,R-HSA-2559585,2.3346691215902085
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5654727,2.319429155033472
R-HSA-112409,abstraction:NextStepPathway,R-HSA-9634638,2.420099316914835
R-HSA-112409,abstraction:NextStepPathway,R-HSA-450341,2.577707170276503
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5654732,2.375286972498473
R-HSA-68616,abstraction:NextStepPathway,R-HSA-113507,2.4807971572684466
R-HSA-209905,abstraction:NextStepPathway,R-HSA-212676,2.6514933844374218
R-HSA-209905,abstraction:NextStepPathway,R-HSA-181430,2.740434467774203
R-HSA-163754,abstraction:NextStepPathway,R-HSA-71336,2.906765889540728
R-HSA-196791,abstraction:NextStepPathway,R-HSA-4090294,2.49179254156991
R-HSA-196791,abstraction:NextStepPathway,R-HSA-211916,2.906765889540728
R-HSA-1482922,abstraction:NextStepPathway,R-HSA-1483196,2.827584643493103
R-HSA-1482922,abstraction:NextStepPathway,R-HSA-1483248,2.740434467774203
R-HSA-77387,abstraction:NextStepPathway,R-HSA-74752,2.1334671419514963
R-HSA-8931987,abstraction:NextStepPathway,R-HSA-8939256,3.1797671616044654
R-HSA-8931987,abstraction:NextStepPathway,R-HSA-9018519,2.007310187203878
R-HSA-2426168,abstraction:NextStepPathway,R-HSA-1989781,1.9493182402261915
R-HSA-5693579,abstraction:NextStepPathway,R-HSA-5685942,2.244008057859154
R-HSA-9958517,abstraction:NextStepPathway,R-HSA-6798163,2.968913796289572
R-HSA-9958517,abstraction:NextStepPathway,R-HSA-1483191,2.6057358938767465
R-HSA-9958517,abstraction:NextStepPathway,R-HSA-264642,2.721129312578816
R-HSA-5676590,abstraction:NextStepPathway,R-HSA-2871837,1.8897325502419475
R-HSA-5676590,abstraction:NextStepPathway,R-HSA-5607764,2.1534382228821163
R-HSA-5676590,abstraction:NextStepPathway,R-HSA-202424,2.1005859155568407
R-HSA-187042,abstraction:NextStepPathway,R-HSA-167021,3.4807971572684466
R-HSA-187042,abstraction:NextStepPathway,R-HSA-167044,2.740434467774203
R-HSA-187042,abstraction:NextStepPathway,R-HSA-170984,3.1797671616044654
R-HSA-187042,abstraction:NextStepPathway,R-HSA-198203,3.082857148596409
R-HSA-187042,abstraction:NextStepPathway,R-HSA-170968,2.968913796289572
R-HSA-187042,abstraction:NextStepPathway,R-HSA-187706,3.3047058982127653
R-HSA-187042,abstraction:NextStepPathway,R-HSA-198745,3.4807971572684466
R-HSA-187042,abstraction:NextStepPathway,R-HSA-187687,2.526554647829122
R-HSA-187042,abstraction:NextStepPathway,R-HSA-177504,2.906765889540728
R-HSA-3000471,abstraction:NextStepPathway,R-HSA-5686938,2.6849171399243716
R-HSA-75153,abstraction:NextStepPathway,R-HSA-111465,2.36685380496161
R-HSA-5617472,abstraction:NextStepPathway,R-HSA-9010553,1.6866578015006728
R-HSA-5617472,abstraction:NextStepPathway,R-HSA-9830364,2.0494333931094593
R-HSA-1237044,abstraction:NextStepPathway,R-HSA-1247673,3.0036759025487845
R-HSA-389356,abstraction:NextStepPathway,R-HSA-389357,2.3838871442603904
R-HSA-389356,abstraction:NextStepPathway,R-HSA-389359,2.3838871442603904
R-HSA-8964041,abstraction:NextStepPathway,R-HSA-8964058,2.878737165940484
R-HSA-8940973,abstraction:NextStepPathway,R-HSA-8878166,2.0534733709111994
R-HSA-438066,abstraction:NextStepPathway,R-HSA-9620244,2.6514933844374218
R-HSA-5654700,abstraction:NextStepPathway,R-HSA-5654695,2.577707170276503
R-HSA-5654700,abstraction:NextStepPathway,R-HSA-5673001,1.638812352678333
R-HSA-5654700,abstraction:NextStepPathway,R-HSA-5654727,2.4493886930168225
R-HSA-204005,abstraction:NextStepPathway,R-HSA-5694530,2.2315987998773337
R-HSA-2162123,abstraction:NextStepPathway,R-HSA-9018679,2.8041035476435803
R-HSA-2162123,abstraction:NextStepPathway,R-HSA-211979,2.702645906884803
R-HSA-2162123,abstraction:NextStepPathway,R-HSA-2142770,2.781827152932428
R-HSA-2162123,abstraction:NextStepPathway,R-HSA-9027604,2.878737165940484
R-HSA-2162123,abstraction:NextStepPathway,R-HSA-140180,2.906765889540728
R-HSA-2162123,abstraction:NextStepPathway,R-HSA-9018677,2.6057358938767465
R-HSA-425381,abstraction:NextStepPathway,R-HSA-427601,2.827584643493103
R-HSA-425381,abstraction:NextStepPathway,R-HSA-174362,2.852408227218135
R-HSA-168874,abstraction:NextStepPathway,R-HSA-168316,3.237759108582152
R-HSA-73621,abstraction:NextStepPathway,R-HSA-70635,2.702645906884803
R-HSA-1296041,abstraction:NextStepPathway,R-HSA-997272,2.620459150697453
R-HSA-72163,abstraction:NextStepPathway,R-HSA-75094,1.7565212876676575
R-HSA-72163,abstraction:NextStepPathway,R-HSA-72187,1.6901601953367433
R-HSA-72163,abstraction:NextStepPathway,R-HSA-9770562,1.7136412911862662
R-HSA-168138,abstraction:NextStepPathway,R-HSA-975155,2.041464463438184
