source,interaction,target,weight
R-HSA-9667769,abstraction:IsAComponentOf,R-HSA-9662361,2.3504633887734405
R-HSA-9637687,abstraction:IsAComponentOf,R-HSA-9637690,2.49179254156991
R-HSA-9636667,abstraction:IsAComponentOf,R-HSA-9637690,2.49179254156991
R-HSA-9635644,abstraction:IsAComponentOf,R-HSA-9637690,2.49179254156991
R-HSA-9636569,abstraction:IsAComponentOf,R-HSA-9637690,2.49179254156991
R-HSA-9635465,abstraction:IsAComponentOf,R-HSA-9637690,2.49179254156991
R-HSA-388396,abstraction:IsAComponentOf,R-HSA-372790,1.2291589368202347
R-HSA-500792,abstraction:IsAComponentOf,R-HSA-372790,1.2291589368202347
R-HSA-195258,abstraction:IsAComponentOf,R-HSA-194315,1.2639717340023993
R-HSA-9012999,abstraction:IsAComponentOf,R-HSA-194315,1.2639717340023993
R-HSA-9752946,abstraction:IsAComponentOf,R-HSA-381753,1.4585750527607408
R-HSA-73930,abstraction:IsAComponentOf,R-HSA-110381,3.480797157268446
R-HSA-177135,abstraction:IsAComponentOf,R-HSA-159424,3.1286146391570844
R-HSA-177162,abstraction:IsAComponentOf,R-HSA-159424,3.1286146391570844
R-HSA-177128,abstraction:IsAComponentOf,R-HSA-159424,3.1286146391570844
R-HSA-9770562,abstraction:IsAComponentOf,R-HSA-72187,1.8981657177788105
R-HSA-176412,abstraction:IsAComponentOf,R-HSA-176814,2.276677174612522
R-HSA-176409,abstraction:IsAComponentOf,R-HSA-176814,2.276677174612522
R-HSA-5693579,abstraction:IsAComponentOf,R-HSA-5685942,2.244008057859154
R-HSA-5693537,abstraction:IsAComponentOf,R-HSA-5685942,2.244008057859154
R-HSA-9608287,abstraction:IsAComponentOf,R-HSA-9605310,3.781827152932428
R-HSA-9608290,abstraction:IsAComponentOf,R-HSA-9605310,3.781827152932428
R-HSA-110330,abstraction:IsAComponentOf,R-HSA-73927,2.503073551979599
R-HSA-110331,abstraction:IsAComponentOf,R-HSA-73927,2.503073551979599
R-HSA-1614603,abstraction:IsAComponentOf,R-HSA-1614635,2.6356991172541897
R-HSA-1614558,abstraction:IsAComponentOf,R-HSA-1614635,2.6356991172541897
R-HSA-1237112,abstraction:IsAComponentOf,R-HSA-1614635,2.6356991172541897
R-HSA-5617833,abstraction:IsAComponentOf,R-HSA-1852241,1.628012288587899
R-HSA-1592230,abstraction:IsAComponentOf,R-HSA-1852241,1.628012288587899
R-HSA-975574,abstraction:IsAComponentOf,R-HSA-975576,2.6678838006255914
R-HSA-975578,abstraction:IsAComponentOf,R-HSA-975576,2.6678838006255914
R-HSA-975577,abstraction:IsAComponentOf,R-HSA-975576,2.6678838006255914
R-HSA-9665686,abstraction:IsAComponentOf,R-HSA-1227990,2.6057358938767465
R-HSA-9665348,abstraction:IsAComponentOf,R-HSA-1227990,2.6057358938767465
R-HSA-9665737,abstraction:IsAComponentOf,R-HSA-1227990,2.6057358938767465
R-HSA-9665230,abstraction:IsAComponentOf,R-HSA-1227990,2.6057358938767465
R-HSA-9634285,abstraction:IsAComponentOf,R-HSA-1227990,2.6057358938767465
R-HSA-9664565,abstraction:IsAComponentOf,R-HSA-1227990,2.6057358938767465
