pathwayID,entityID
R-HSA-2173795,Q13485
R-HSA-2173795,P84022
R-HSA-2173795,Q15796
R-HSA-2173795,Q96PU5
R-HSA-2173795,P0CG48
R-HSA-2173795,P0CG47
R-HSA-2173795,P62987
R-HSA-2173795,P62979
R-HSA-2173795,P35813
R-HSA-2173795,Q9GZV5
R-HSA-2173795,P09874
R-HSA-2173795,Q6ZNA4
R-HSA-2173795,Q9HAU4
R-HSA-2173795,P12755
R-HSA-2173795,P12757
R-HSA-2173795,Q9Y618
R-HSA-2173795,O75376
R-HSA-2173795,Q9UPN9
R-HSA-2173795,Q93008
R-HSA-2173795,Q13547
R-HSA-2173795,Q9GZN2
R-HSA-2173795,Q15583
R-HSA-2173795,O15105
R-HSA-2173795,Q9UN42
R-HSA-2173795,Q13573
R-HSA-2173791,P62942
R-HSA-2173791,P36897
R-HSA-2173791,Q9P2M7
R-HSA-2173791,Q9Y624
R-HSA-2173791,Q6ZSZ5
R-HSA-2173791,Q8TEW0
R-HSA-2173791,Q9NPB6
R-HSA-2173791,Q05513
R-HSA-2173791,P61586
R-HSA-2173791,Q9HCE7
R-HSA-2173791,P01137
R-HSA-2173791,P37173
R-HSA-2173791,P62987
R-HSA-2173791,P0CG47
R-HSA-2173791,P0CG48
R-HSA-2173791,P62979
R-HSA-2173788,O15105
R-HSA-2173788,Q9HCE7
R-HSA-2173788,O14980
R-HSA-2173788,Q15796
R-HSA-2173788,P62987
R-HSA-2173788,P0CG47
R-HSA-2173788,P0CG48
R-HSA-2173788,P62979
R-HSA-2173788,P01137
R-HSA-2173788,P37173
R-HSA-2173788,P36897
R-HSA-2173788,Q9HAU4
R-HSA-2173788,Q96PU5
R-HSA-2173788,Q9Y3F4
R-HSA-2173788,Q9NYA4
R-HSA-2173788,P84022
R-HSA-2173788,Q969W9
R-HSA-2173788,O75807
R-HSA-2173788,P36873
R-HSA-2173788,P62136
R-HSA-2173788,P62140
R-HSA-2173788,Q9Y4E8
R-HSA-2173788,Q9Y5K5
R-HSA-2173788,Q9UNE7
R-HSA-2173788,Q13145
R-HSA-2173796,Q15796
R-HSA-2173796,P84022
R-HSA-2173796,Q13485
R-HSA-2173796,P09958
R-HSA-2173796,P08047
R-HSA-2173796,Q09472
R-HSA-2173796,O00255
R-HSA-2173796,Q15329
R-HSA-2173796,Q16254
R-HSA-2173796,P28749
R-HSA-2173796,Q14188
R-HSA-2173796,Q14186
R-HSA-2173796,Q6ZNA4
R-HSA-2173796,O15105
R-HSA-2173796,P0CG48
R-HSA-2173796,P0CG47
R-HSA-2173796,P62987
R-HSA-2173796,P62979
R-HSA-2173796,Q9GZV5
R-HSA-2173796,P67809
R-HSA-170834,P62942
R-HSA-170834,P36897
R-HSA-170834,Q9P2M7
R-HSA-170834,Q9Y624
R-HSA-170834,Q6ZSZ5
R-HSA-170834,Q8TEW0
R-HSA-170834,Q9NPB6
R-HSA-170834,Q05513
R-HSA-170834,P61586
R-HSA-170834,Q9HCE7
R-HSA-170834,P01137
R-HSA-170834,P37173
R-HSA-170834,P62987
R-HSA-170834,P0CG47
R-HSA-170834,P0CG48
R-HSA-170834,P62979
R-HSA-170834,Q13485
R-HSA-170834,P84022
R-HSA-170834,Q15796
R-HSA-170834,Q96PU5
R-HSA-170834,P35813
R-HSA-170834,Q9GZV5
R-HSA-170834,P09874
R-HSA-170834,Q6ZNA4
R-HSA-170834,Q9HAU4
R-HSA-170834,P12755
R-HSA-170834,P12757
R-HSA-170834,Q9Y618
R-HSA-170834,O75376
R-HSA-170834,Q9UPN9
R-HSA-170834,Q93008
R-HSA-170834,Q13547
R-HSA-170834,Q9GZN2
R-HSA-170834,Q15583
R-HSA-170834,O15105
R-HSA-170834,Q9UN42
R-HSA-170834,Q13573
R-HSA-170834,P09958
R-HSA-170834,P08047
R-HSA-170834,Q09472
R-HSA-170834,O00255
R-HSA-170834,Q15329
R-HSA-170834,Q16254
R-HSA-170834,P28749
R-HSA-170834,Q14188
R-HSA-170834,Q14186
R-HSA-170834,P67809
R-HSA-170834,Q8N2S1
R-HSA-170834,Q14767
R-HSA-170834,Q9NS15
R-HSA-170834,Q14766
R-HSA-170834,P22681
R-HSA-170834,P61081
R-HSA-170834,Q15843
R-HSA-170834,O14980
R-HSA-170834,Q9Y3F4
R-HSA-170834,Q9NYA4
R-HSA-170834,Q969W9
R-HSA-170834,O75807
R-HSA-170834,P36873
R-HSA-170834,P62136
R-HSA-170834,P62140
R-HSA-170834,Q9Y4E8
R-HSA-170834,Q9Y5K5
R-HSA-170834,Q9UNE7
R-HSA-170834,Q13145
R-HSA-170834,P18564
R-HSA-170834,P06756
R-HSA-170834,P05556
R-HSA-170834,P18084
R-HSA-170834,P53708
R-HSA-170834,P05106
R-HSA-170834,P26012
R-HSA-170834,P10600
R-HSA-170834,P61812
R-HSA-2173793,Q13485
R-HSA-2173793,P84022
R-HSA-2173793,Q15796
R-HSA-2173793,Q96PU5
R-HSA-2173793,P0CG48
R-HSA-2173793,P0CG47
R-HSA-2173793,P62987
R-HSA-2173793,P62979
R-HSA-2173793,P35813
R-HSA-2173793,Q9GZV5
R-HSA-2173793,P09874
R-HSA-2173793,Q6ZNA4
R-HSA-2173793,Q9HAU4
R-HSA-2173793,P12755
R-HSA-2173793,P12757
R-HSA-2173793,Q9Y618
R-HSA-2173793,O75376
R-HSA-2173793,Q9UPN9
R-HSA-2173793,Q93008
R-HSA-2173793,Q13547
R-HSA-2173793,Q9GZN2
R-HSA-2173793,Q15583
R-HSA-2173793,O15105
R-HSA-2173793,Q9UN42
R-HSA-2173793,Q13573
R-HSA-2173793,P09958
R-HSA-2173793,P08047
R-HSA-2173793,Q09472
R-HSA-2173793,O00255
R-HSA-2173793,Q15329
R-HSA-2173793,Q16254
R-HSA-2173793,P28749
R-HSA-2173793,Q14188
R-HSA-2173793,Q14186
R-HSA-2173793,P67809
R-HSA-2173789,Q15796
R-HSA-2173789,P84022
R-HSA-2173789,P01137
R-HSA-2173789,P37173
R-HSA-2173789,P36897
R-HSA-2173789,Q8N2S1
R-HSA-2173789,Q14767
R-HSA-2173789,Q9NS15
R-HSA-2173789,Q14766
R-HSA-2173789,P22681
R-HSA-2173789,P61081
R-HSA-2173789,Q15843
R-HSA-2173789,O15105
R-HSA-2173789,Q9HCE7
R-HSA-2173789,O14980
R-HSA-2173789,P62987
R-HSA-2173789,P0CG47
R-HSA-2173789,P0CG48
R-HSA-2173789,P62979
R-HSA-2173789,Q9HAU4
R-HSA-2173789,Q96PU5
R-HSA-2173789,Q9Y3F4
R-HSA-2173789,Q9NYA4
R-HSA-2173789,Q969W9
R-HSA-2173789,O75807
R-HSA-2173789,P36873
R-HSA-2173789,P62136
R-HSA-2173789,P62140
R-HSA-2173789,Q9Y4E8
R-HSA-2173789,Q9Y5K5
R-HSA-2173789,Q9UNE7
R-HSA-2173789,Q13145
R-HSA-2173789,P18564
R-HSA-2173789,P06756
R-HSA-2173789,P05556
R-HSA-2173789,P18084
R-HSA-2173789,P53708
R-HSA-2173789,P05106
R-HSA-2173789,P26012
R-HSA-2173789,Q13485
R-HSA-2173789,P10600
R-HSA-2173789,P61812
R-HSA-2173789,P62942
R-HSA-2173796,P01106
R-HSA-2173796,P05121
R-HSA-2173796,P42772
R-HSA-2173796,P17275
R-HSA-2173796,P08123
R-HSA-170834,P01106
R-HSA-170834,P05121
R-HSA-170834,P42772
R-HSA-170834,P17275
R-HSA-170834,P08123
R-HSA-2173793,P01106
R-HSA-2173793,P05121
R-HSA-2173793,P42772
R-HSA-2173793,P17275
R-HSA-2173793,P08123
R-HSA-2173795,P61077
R-HSA-2173795,P51668
R-HSA-2173795,P28482
R-HSA-2173795,P27361
R-HSA-2173796,P50750
R-HSA-2173796,O60583
R-HSA-2173796,O60563
R-HSA-2173796,O75909
R-HSA-2173796,P49336
R-HSA-2173796,P24863
R-HSA-2173796,Q13547
R-HSA-2173796,Q9GZN2
R-HSA-2173796,Q15583
R-HSA-2173796,P28482
R-HSA-2173796,P27361
R-HSA-170834,P61077
R-HSA-170834,P51668
R-HSA-170834,P28482
R-HSA-170834,P27361
R-HSA-170834,P50750
R-HSA-170834,O60583
R-HSA-170834,O60563
R-HSA-170834,O75909
R-HSA-170834,P49336
R-HSA-170834,P24863
R-HSA-170834,Q03167
R-HSA-2173793,P61077
R-HSA-2173793,P51668
R-HSA-2173793,P28482
R-HSA-2173793,P27361
R-HSA-2173793,P50750
R-HSA-2173793,O60583
R-HSA-2173793,O60563
R-HSA-2173793,O75909
R-HSA-2173793,P49336
R-HSA-2173793,P24863
R-HSA-2173789,P09958
R-HSA-2173789,Q03167
R-HSA-2173788,O95405-1
R-HSA-170834,O95405-1
R-HSA-2173789,O95405-1
R-HSA-2173795,P42224-1
R-HSA-170834,P42224-1
R-HSA-2173793,P42224-1
