source,interaction,target,weight
R-HSA-2173791,abstraction:IsAComponentOf,R-HSA-170834,0.0
R-HSA-2173793,abstraction:IsAComponentOf,R-HSA-170834,0.0
R-HSA-2173789,abstraction:IsAComponentOf,R-HSA-170834,0.0
R-HSA-2173795,abstraction:IsAComponentOf,R-HSA-2173793,0.2609127724559987
R-HSA-2173796,abstraction:IsAComponentOf,R-HSA-2173793,0.2609127724559987
R-HSA-2173788,abstraction:IsAComponentOf,R-HSA-2173789,0.305725116872361
R-HSA-2173795,abstraction:NextStepPathway,R-HSA-2173788,0.2963850906182176
R-HSA-2173795,abstraction:NextStepPathway,R-HSA-2173796,0.2609127724559987
R-HSA-2173796,abstraction:NextStepPathway,R-HSA-2173795,0.2609127724559987
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-2173791,0.244207078953146
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-2173788,0.305725116872361
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-2173796,0.1051600884334792
