source,interaction,target,weight
R-HSA-9839373,abstraction:IsAComponentOf,R-HSA-9006936,0
R-HSA-170834,abstraction:IsAComponentOf,R-HSA-9006936,0
R-HSA-1502540,abstraction:IsAComponentOf,R-HSA-9006936,0
R-HSA-201451,abstraction:IsAComponentOf,R-HSA-9006936,0
R-HSA-2173796,abstraction:IsAComponentOf,R-HSA-2173793,1.1244201726239824
R-HSA-2173795,abstraction:IsAComponentOf,R-HSA-2173793,1.1244201726239824
R-HSA-2173788,abstraction:IsAComponentOf,R-HSA-2173789,1.227604408859213
R-HSA-9839397,abstraction:IsAComponentOf,R-HSA-9839373,1.227604408859213
R-HSA-9839389,abstraction:IsAComponentOf,R-HSA-9839373,1.227604408859213
R-HSA-9839383,abstraction:IsAComponentOf,R-HSA-9839373,1.227604408859213
R-HSA-9839406,abstraction:IsAComponentOf,R-HSA-9839373,1.227604408859213
R-HSA-9839394,abstraction:IsAComponentOf,R-HSA-9839373,1.227604408859213
R-HSA-2173791,abstraction:IsAComponentOf,R-HSA-170834,0.5236463121950522
R-HSA-2173789,abstraction:IsAComponentOf,R-HSA-170834,0.5236463121950522
R-HSA-2173793,abstraction:IsAComponentOf,R-HSA-170834,0.5236463121950522
R-HSA-2473224,abstraction:IsAComponentOf,R-HSA-1502540,2.223032461292092
