source,interaction,target,weight
R-HSA-9935598,abstraction:IsAComponentOf,R-HSA-9769739,2.623832122018193
R-HSA-210993,abstraction:IsAComponentOf,R-HSA-202733,1.3876900347588652
R-HSA-210991,abstraction:IsAComponentOf,R-HSA-202733,1.3876900347588652
R-HSA-210990,abstraction:IsAComponentOf,R-HSA-202733,1.3876900347588652
R-HSA-75205,abstraction:IsAComponentOf,R-HSA-109582,0.0950312786729673
R-HSA-983231,abstraction:IsAComponentOf,R-HSA-109582,0.0950312786729673
R-HSA-76002,abstraction:IsAComponentOf,R-HSA-109582,0.0950312786729673
R-HSA-202733,abstraction:IsAComponentOf,R-HSA-109582,0.0950312786729673
R-HSA-418346,abstraction:IsAComponentOf,R-HSA-109582,0.0950312786729673
R-HSA-75892,abstraction:IsAComponentOf,R-HSA-109582,0.0950312786729673
R-HSA-9769740,abstraction:IsAComponentOf,R-HSA-109582,0.0950312786729673
R-HSA-418457,abstraction:IsAComponentOf,R-HSA-392154,3.4395816246704705
R-HSA-983189,abstraction:IsAComponentOf,R-HSA-983231,1.633433417990316
R-HSA-114608,abstraction:IsAComponentOf,R-HSA-76005,1.6847267123778664
R-HSA-114516,abstraction:IsAComponentOf,R-HSA-76005,1.6847267123778664
R-HSA-418360,abstraction:IsAComponentOf,R-HSA-418346,2.0977390261214137
R-HSA-392851,abstraction:IsAComponentOf,R-HSA-418346,2.0977390261214137
R-HSA-392154,abstraction:IsAComponentOf,R-HSA-418346,2.0977390261214137
R-HSA-432142,abstraction:IsAComponentOf,R-HSA-418346,2.0977390261214137
R-HSA-372708,abstraction:IsAComponentOf,R-HSA-354192,3.2428713304244163
R-HSA-354194,abstraction:IsAComponentOf,R-HSA-354192,3.2428713304244163
R-HSA-418592,abstraction:IsAComponentOf,R-HSA-392518,3.019727779110206
R-HSA-428930,abstraction:IsAComponentOf,R-HSA-392518,3.019727779110206
R-HSA-392170,abstraction:IsAComponentOf,R-HSA-392518,3.019727779110206
R-HSA-354192,abstraction:IsAComponentOf,R-HSA-76009,2.9374896808732345
R-HSA-392023,abstraction:IsAComponentOf,R-HSA-76009,2.9374896808732345
R-HSA-76009,abstraction:IsAComponentOf,R-HSA-76002,1.002921808421856
R-HSA-114604,abstraction:IsAComponentOf,R-HSA-76002,1.002921808421856
R-HSA-114508,abstraction:IsAComponentOf,R-HSA-76002,1.002921808421856
R-HSA-76005,abstraction:IsAComponentOf,R-HSA-76002,1.002921808421856
R-HSA-430116,abstraction:IsAComponentOf,R-HSA-76002,1.002921808421856
R-HSA-392518,abstraction:IsAComponentOf,R-HSA-76002,1.002921808421856
R-HSA-456926,abstraction:IsAComponentOf,R-HSA-76002,1.002921808421856
R-HSA-139853,abstraction:IsAComponentOf,R-HSA-418360,3.2428713304244163
R-HSA-418359,abstraction:IsAComponentOf,R-HSA-418360,3.2428713304244163
R-HSA-9769743,abstraction:IsAComponentOf,R-HSA-9769740,2.497538396693901
R-HSA-9769735,abstraction:IsAComponentOf,R-HSA-9769740,2.497538396693901
R-HSA-9769739,abstraction:IsAComponentOf,R-HSA-9769740,2.497538396693901
R-HSA-9769733,abstraction:IsAComponentOf,R-HSA-9769740,2.497538396693901
R-HSA-426048,abstraction:IsAComponentOf,R-HSA-114508,3.2792389745952915
R-HSA-418592,abstraction:NextStepPathway,R-HSA-432142,2.886196386485684
R-HSA-114608,abstraction:NextStepPathway,R-HSA-9769743,1.6192487829983595
R-HSA-114608,abstraction:NextStepPathway,R-HSA-9769739,1.4334122840969603
R-HSA-114608,abstraction:NextStepPathway,R-HSA-9769733,1.669801062161191
R-HSA-9769743,abstraction:NextStepPathway,R-HSA-9769735,3.07856827913314
R-HSA-9769743,abstraction:NextStepPathway,R-HSA-9769739,2.623832122018193
R-HSA-9769743,abstraction:NextStepPathway,R-HSA-9935598,3.5305534028761976
R-HSA-9769743,abstraction:NextStepPathway,R-HSA-9769733,3.35620001573142
R-HSA-114604,abstraction:NextStepPathway,R-HSA-114508,2.48073127837752
R-HSA-114604,abstraction:NextStepPathway,R-HSA-76005,1.4630880522430771
R-HSA-114604,abstraction:NextStepPathway,R-HSA-426048,2.9374896808732345
R-HSA-9769735,abstraction:NextStepPathway,R-HSA-9769743,3.07856827913314
R-HSA-9769735,abstraction:NextStepPathway,R-HSA-9769739,2.623832122018193
R-HSA-9769735,abstraction:NextStepPathway,R-HSA-9769733,3.048715315983459
R-HSA-139853,abstraction:NextStepPathway,R-HSA-114508,2.964157927955396
R-HSA-139853,abstraction:NextStepPathway,R-HSA-76005,1.5711295346541614
R-HSA-114508,abstraction:NextStepPathway,R-HSA-139853,2.964157927955396
R-HSA-114508,abstraction:NextStepPathway,R-HSA-76005,1.4999020253657935
R-HSA-114508,abstraction:NextStepPathway,R-HSA-354192,2.6047839270474986
R-HSA-76005,abstraction:NextStepPathway,R-HSA-114516,1.6847267123778664
R-HSA-9769739,abstraction:NextStepPathway,R-HSA-202733,1.1905807778105313
R-HSA-202733,abstraction:NextStepPathway,R-HSA-114604,1.2717709325405446
R-HSA-202733,abstraction:NextStepPathway,R-HSA-9769739,1.1905807778105313
R-HSA-210990,abstraction:NextStepPathway,R-HSA-432142,3.3169793025781384
R-HSA-9935598,abstraction:NextStepPathway,R-HSA-9769743,3.5305534028761976
