1,Autophagy,11,28109
2,CellCycle,124,106606
3,CellCellCommunication,32,46079
4,CellularResponseToStimuli,57,130770
5,ChromatinOrganization,21,54398
6,CircadianClock,10,20904
7,DevelopmentalBiology,114,199623
8,DigestionAndAbsorption,7,7178
9,Disease,789,776833
10,DNARepair,64,67328
11,DNAReplication,19,22597
12,DrugADME,11,25795
13,ExtracellularMatrixOrganization,20,127896
14,GeneExpression(Transcription),140,223108
15,Hemostasis,41,96993
16,ImmuneSystem,219,417093
17,Metabolism,335,430696
18,MetabolismOfProteins,131,283321
19,MetabolismOfRNA,56,94391
20,MuscleContraction,11,23238
21,NeuronalSystem,78,57096
22,OrganelleBiogenesisAndMaintenance,14,30138
23,ProgrammedCellDeath,42,40669
24,ProteinLocalization,6,22507
25,Reproduction,9,13653
26,SensoryPerception,18,72321
27,SignalTransduction,414,494618
28,TransportOfSmallMolecules,72,108901
29,VesicleMediatedTransport,38,105137
