source,interaction,target,weight
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-1257604,4.078116028043858
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-5654689,6.83617664972073
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-5654710,6.916219357394267
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-6811558,5.340682996635848
R-HSA-5654695,abstraction:NextStepPathway,R-HSA-5654720,6.83617664972073
R-HSA-9858328,abstraction:NextStepPathway,R-HSA-71064,6.916219357394267
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-111997,5.594463517411947
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2514859,5.639925891488704
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-4086398,5.358074739347717
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-111932,6.405393733628276
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-1489509,5.550978405472208
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-5218920,5.737564361052621
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2029485,5.393792821949796
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-9664323,5.167019502585007
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-5578775,5.340682996635848
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-442720,6.310083553823951
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-9942503,6.310083553823951
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-1169091,5.2422429238225945
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-111933,5.594463517411947
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-180024,5.967138802697121
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-422356,4.9703092083389535
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-9856530,5.019099372508385
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-112043,5.393792821949796
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-111957,6.762068677567008
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2025928,6.83617664972073
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-5627123,5.967138802697121
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-442982,5.967138802697121
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-203615,6.265631791253117
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-9620244,5.845777945692853
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-5218921,6.143029469160785
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-445355,5.44988228860084
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-983695,5.763539847455881
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-442729,6.510754249286102
R-HSA-5607763,abstraction:NextStepPathway,R-HSA-2871809,5.50930570907164
R-HSA-205017,abstraction:NextStepPathway,R-HSA-209543,6.693075806080056
R-HSA-205017,abstraction:NextStepPathway,R-HSA-193648,5.3067814449601665
R-HSA-205017,abstraction:NextStepPathway,R-HSA-205043,6.567912663126051
R-HSA-205017,abstraction:NextStepPathway,R-HSA-193681,8.014831646062376
R-HSA-202430,abstraction:NextStepPathway,R-HSA-202433,5.663456388898899
R-HSA-9796292,abstraction:NextStepPathway,R-HSA-9823730,6.223072176834322
R-HSA-112409,abstraction:NextStepPathway,R-HSA-8940973,5.616936373264005
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5654733,5.763539847455881
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5675221,5.469300374457941
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5673001,4.219342456890182
R-HSA-112409,abstraction:NextStepPathway,R-HSA-2871796,5.1526307651329075
R-HSA-112409,abstraction:NextStepPathway,R-HSA-444257,6.143029469160785
R-HSA-112409,abstraction:NextStepPathway,R-HSA-375165,5.110666566033876
R-HSA-112409,abstraction:NextStepPathway,R-HSA-2559580,4.682627135887172
R-HSA-112409,abstraction:NextStepPathway,R-HSA-881907,5.763539847455881
R-HSA-112409,abstraction:NextStepPathway,R-HSA-170968,6.033830177195793
R-HSA-112409,abstraction:NextStepPathway,R-HSA-198753,5.763539847455881
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5654726,5.737564361052621
R-HSA-112409,abstraction:NextStepPathway,R-HSA-2559582,4.816158528511695
R-HSA-112409,abstraction:NextStepPathway,R-HSA-2559585,5.4308340936301445
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5654727,5.737564361052621
R-HSA-112409,abstraction:NextStepPathway,R-HSA-9634638,5.639925891488704
R-HSA-112409,abstraction:NextStepPathway,R-HSA-450341,6.033830177195793
R-HSA-112409,abstraction:NextStepPathway,R-HSA-5654732,5.790208094538042
R-HSA-68616,abstraction:NextStepPathway,R-HSA-113507,5.71224655306833
R-HSA-209905,abstraction:NextStepPathway,R-HSA-212676,6.105289141177938
R-HSA-209905,abstraction:NextStepPathway,R-HSA-181430,6.310083553823951
R-HSA-163754,abstraction:NextStepPathway,R-HSA-71336,6.693075806080056
R-HSA-196791,abstraction:NextStepPathway,R-HSA-4090294,5.737564361052621
R-HSA-196791,abstraction:NextStepPathway,R-HSA-211916,6.693075806080056
R-HSA-1482922,abstraction:NextStepPathway,R-HSA-1483196,6.510754249286102
R-HSA-1482922,abstraction:NextStepPathway,R-HSA-1483248,6.310083553823951
R-HSA-77387,abstraction:NextStepPathway,R-HSA-74752,5.3067814449601665
R-HSA-8931987,abstraction:NextStepPathway,R-HSA-8939256,7.321684465502431
R-HSA-8931987,abstraction:NextStepPathway,R-HSA-9018519,4.673738188469926
R-HSA-2426168,abstraction:NextStepPathway,R-HSA-1989781,4.4884711214462145
R-HSA-5693579,abstraction:NextStepPathway,R-HSA-5685942,5.393792821949796
R-HSA-9958517,abstraction:NextStepPathway,R-HSA-6798163,6.83617664972073
R-HSA-9958517,abstraction:NextStepPathway,R-HSA-1483191,5.999928625520111
R-HSA-9958517,abstraction:NextStepPathway,R-HSA-264642,6.265631791253117
R-HSA-5676590,abstraction:NextStepPathway,R-HSA-2871837,4.890266500665417
R-HSA-5676590,abstraction:NextStepPathway,R-HSA-5607764,4.95847475069195
R-HSA-5676590,abstraction:NextStepPathway,R-HSA-202424,4.836777815714431
R-HSA-187042,abstraction:NextStepPathway,R-HSA-167021,8.014831646062376
R-HSA-187042,abstraction:NextStepPathway,R-HSA-167044,6.310083553823951
R-HSA-187042,abstraction:NextStepPathway,R-HSA-170984,7.321684465502431
R-HSA-187042,abstraction:NextStepPathway,R-HSA-198203,7.098540914188221
R-HSA-187042,abstraction:NextStepPathway,R-HSA-170968,6.83617664972073
R-HSA-187042,abstraction:NextStepPathway,R-HSA-187706,7.6093665379542115
R-HSA-187042,abstraction:NextStepPathway,R-HSA-198745,8.014831646062376
R-HSA-187042,abstraction:NextStepPathway,R-HSA-187687,5.817607068726157
R-HSA-187042,abstraction:NextStepPathway,R-HSA-177504,6.693075806080056
R-HSA-3000471,abstraction:NextStepPathway,R-HSA-5686938,6.182250182314066
R-HSA-75153,abstraction:NextStepPathway,R-HSA-111465,5.44988228860084
R-HSA-5617472,abstraction:NextStepPathway,R-HSA-9010553,3.883673110717559
R-HSA-5617472,abstraction:NextStepPathway,R-HSA-9830364,4.718994780058047
R-HSA-1237044,abstraction:NextStepPathway,R-HSA-1247673,6.916219357394267
R-HSA-389356,abstraction:NextStepPathway,R-HSA-389357,5.594463517411947
R-HSA-389356,abstraction:NextStepPathway,R-HSA-389359,5.594463517411947
