source,interaction,target,weight
R-HSA-9667769,abstraction:IsAComponentOf,R-HSA-9662361,5.412141960617992
R-HSA-9637687,abstraction:IsAComponentOf,R-HSA-9637690,5.737564361052621
R-HSA-9636667,abstraction:IsAComponentOf,R-HSA-9637690,5.737564361052621
R-HSA-9635644,abstraction:IsAComponentOf,R-HSA-9637690,5.737564361052621
R-HSA-9636569,abstraction:IsAComponentOf,R-HSA-9637690,5.737564361052621
R-HSA-9635465,abstraction:IsAComponentOf,R-HSA-9637690,5.737564361052621
R-HSA-388396,abstraction:IsAComponentOf,R-HSA-372790,2.831644586767971
R-HSA-500792,abstraction:IsAComponentOf,R-HSA-372790,2.831644586767971
R-HSA-195258,abstraction:IsAComponentOf,R-HSA-194315,2.9119210758569496
R-HSA-9012999,abstraction:IsAComponentOf,R-HSA-194315,2.9119210758569496
R-HSA-9752946,abstraction:IsAComponentOf,R-HSA-381753,3.3584931734998853
R-HSA-73930,abstraction:IsAComponentOf,R-HSA-110381,8.014831646062376
R-HSA-177135,abstraction:IsAComponentOf,R-HSA-159424,7.203901429846048
R-HSA-177162,abstraction:IsAComponentOf,R-HSA-159424,7.203901429846048
R-HSA-177128,abstraction:IsAComponentOf,R-HSA-159424,7.203901429846048
R-HSA-9770562,abstraction:IsAComponentOf,R-HSA-72187,4.370688085789832
R-HSA-176412,abstraction:IsAComponentOf,R-HSA-176814,5.2422429238225945
R-HSA-176409,abstraction:IsAComponentOf,R-HSA-176814,5.2422429238225945
R-HSA-5693579,abstraction:IsAComponentOf,R-HSA-5685942,5.393792821949796
R-HSA-5693537,abstraction:IsAComponentOf,R-HSA-5685942,5.393792821949796
R-HSA-9608287,abstraction:IsAComponentOf,R-HSA-9605310,8.707978826622321
R-HSA-9608290,abstraction:IsAComponentOf,R-HSA-9605310,8.707978826622321
R-HSA-110330,abstraction:IsAComponentOf,R-HSA-73927,5.763539847455881
R-HSA-110331,abstraction:IsAComponentOf,R-HSA-73927,5.763539847455881
R-HSA-1614603,abstraction:IsAComponentOf,R-HSA-1614635,6.068921497007063
R-HSA-1614558,abstraction:IsAComponentOf,R-HSA-1614635,6.068921497007063
R-HSA-1237112,abstraction:IsAComponentOf,R-HSA-1614635,6.068921497007063
R-HSA-5617833,abstraction:IsAComponentOf,R-HSA-1852241,3.755679109539029
R-HSA-1592230,abstraction:IsAComponentOf,R-HSA-1852241,3.755679109539029
R-HSA-975574,abstraction:IsAComponentOf,R-HSA-975576,6.143029469160785
R-HSA-975578,abstraction:IsAComponentOf,R-HSA-975576,6.143029469160785
R-HSA-975577,abstraction:IsAComponentOf,R-HSA-975576,6.143029469160785
R-HSA-9665686,abstraction:IsAComponentOf,R-HSA-1227990,6.265631791253117
R-HSA-9665348,abstraction:IsAComponentOf,R-HSA-1227990,6.265631791253117
R-HSA-9665737,abstraction:IsAComponentOf,R-HSA-1227990,6.265631791253117
