source,interaction,target,weight
R-HSA-2173791,abstraction:IsAComponentOf,R-HSA-170834,0.0
R-HSA-2173793,abstraction:IsAComponentOf,R-HSA-170834,0.0
R-HSA-2173789,abstraction:IsAComponentOf,R-HSA-170834,0.0
R-HSA-2173795,abstraction:IsAComponentOf,R-HSA-2173793,0.6007738604289302
R-HSA-2173796,abstraction:IsAComponentOf,R-HSA-2173793,0.6007738604289302
R-HSA-2173788,abstraction:IsAComponentOf,R-HSA-2173789,0.703958096664161
R-HSA-2173795,abstraction:NextStepPathway,R-HSA-2173788,0.6824518914431974
R-HSA-2173795,abstraction:NextStepPathway,R-HSA-2173796,0.6007738604289302
R-HSA-2173796,abstraction:NextStepPathway,R-HSA-2173795,0.6007738604289302
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-2173791,0.562307579601134
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-2173788,0.703958096664161
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-2173796,0.2421400520048648
