source,interaction,target,weight
R-HSA-2173796,abstraction:NextStepPathway,R-HSA-2173795,1.1244201726239824
R-HSA-2173796,abstraction:NextStepPathway,R-HSA-1502540,1.1850447944404172
R-HSA-2173795,abstraction:NextStepPathway,R-HSA-2173796,1.1244201726239824
R-HSA-2173795,abstraction:NextStepPathway,R-HSA-2173788,1.2060982036382495
R-HSA-1502540,abstraction:NextStepPathway,R-HSA-2173796,1.1850447944404172
R-HSA-1502540,abstraction:NextStepPathway,R-HSA-2173795,1.3185761870649397
R-HSA-1502540,abstraction:NextStepPathway,R-HSA-2173789,0.9787083614425885
R-HSA-9839383,abstraction:NextStepPathway,R-HSA-9839397,2.4912964478867714
R-HSA-9839383,abstraction:NextStepPathway,R-HSA-9839389,2.165874047452143
R-HSA-9839383,abstraction:NextStepPathway,R-HSA-9839406,2.4171884757330493
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-2173796,0.7657863641999169
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-2173788,1.227604408859213
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-1502540,0.9787083614425885
R-HSA-2173789,abstraction:NextStepPathway,R-HSA-2173791,1.0859538917961862
R-HSA-9839394,abstraction:NextStepPathway,R-HSA-9839383,1.5008977438588944
