pathwayID,entityID
R-HSA-9839373,Q03167
R-HSA-9839373,P09038
R-HSA-9839373,O14908
R-HSA-9839373,P61812
R-HSA-9839373,P01137
R-HSA-9839373,P49407
R-HSA-9839373,P32121
R-HSA-9839373,P37173
R-HSA-9839373,P08476
R-HSA-9839373,P05111
R-HSA-9839373,P27037
R-HSA-9839373,Q9UPQ9
R-HSA-9839373,Q9HCJ0
R-HSA-9839373,Q8NDV7
R-HSA-9839373,Q9H9G7
R-HSA-9839373,Q9UL18
R-HSA-9839373,Q9HCK5
R-HSA-9839373,Q9HCE1
R-HSA-9839373,Q9UKV8
R-HSA-9839373,P19793
R-HSA-9839373,P10276
R-HSA-9839373,P08047
R-HSA-9839373,P15923
R-HSA-9839373,P15884
R-HSA-9839373,Q99081
R-HSA-9839373,P15172
R-HSA-9839373,P23409
R-HSA-9839373,P13349
R-HSA-9839373,P15173
R-HSA-9006936,Q03167
R-HSA-9006936,P09038
R-HSA-9006936,O14908
R-HSA-9006936,P61812
R-HSA-9006936,P01137
R-HSA-9006936,P49407
R-HSA-9006936,P32121
R-HSA-9006936,P37173
R-HSA-9006936,P08476
R-HSA-9006936,P05111
R-HSA-9006936,P27037
R-HSA-9006936,Q9UPQ9
R-HSA-9006936,Q9HCJ0
R-HSA-9006936,Q8NDV7
R-HSA-9006936,Q9H9G7
R-HSA-9006936,Q9UL18
R-HSA-9006936,Q9HCK5
R-HSA-9006936,Q9HCE1
R-HSA-9006936,Q9UKV8
R-HSA-9006936,P19793
R-HSA-9006936,P10276
R-HSA-9006936,P08047
R-HSA-9006936,P15923
R-HSA-9006936,P15884
R-HSA-9006936,Q99081
R-HSA-9006936,P15172
R-HSA-9006936,P23409
R-HSA-9006936,P13349
R-HSA-9006936,P15173
R-HSA-9006936,Q6ZSZ5
R-HSA-9006936,Q9NPB6
R-HSA-9006936,Q8TEW0
R-HSA-9006936,Q05513
R-HSA-9006936,Q9Y624
R-HSA-9006936,Q9P2M7
R-HSA-9006936,P61586
R-HSA-9006936,P36897
R-HSA-9006936,Q9HCE7
R-HSA-9006936,P62942
R-HSA-9006936,P0CG48
R-HSA-9006936,P0CG47
R-HSA-9006936,P62987
R-HSA-9006936,P62979
R-HSA-9006936,P22681
R-HSA-9006936,Q9NS15
R-HSA-9006936,Q14766
R-HSA-9006936,P10600
R-HSA-9006936,Q15796
R-HSA-9006936,P84022
R-HSA-9006936,Q8N2S1
R-HSA-9006936,Q14767
R-HSA-9006936,P61081
R-HSA-9006936,Q15843
R-HSA-9006936,O15105
R-HSA-9006936,Q9HAU4
R-HSA-9006936,Q96PU5
R-HSA-9006936,Q9Y4E8
R-HSA-9006936,Q9Y5K5
R-HSA-9006936,Q9NYA4
R-HSA-9006936,Q9Y3F4
