"entityID","entityName"
"P22681","RNF55"
"P22681","CBL"
"P22681","CBL2"
"P22681","UniProt:P22681 CBL"
"P53708","ITGA8"
"P53708","UniProt:P53708 ITGA8"
"O75909","CCNK"
"O75909","CPR4"
"O75909","UniProt:O75909 CCNK"
"P50750","UniProt:P50750 CDK9"
"P50750","CDC2L4"
"P50750","TAK"
"P50750","CDK9"
"Q9NS15","UniProt:Q9NS15 LTBP3"
"Q9NS15","LTBP3"
"Q93008","FAM"
"Q93008","USP9"
"Q93008","DFFRX"
"Q93008","UniProt:Q93008 USP9X"
"Q93008","USP9X"
"Q969W9","PMEPA1"
"Q969W9","UniProt:Q969W9 PMEPA1"
"Q969W9","TMEPAI"
"Q969W9","STAG1"
"Q6ZNA4","UniProt:Q6ZNA4 RNF111"
"Q6ZNA4","RNF111"
"P62979","UniProt:P62979 RPS27A"
"P62979","UBCEP1"
"P62979","RPS27A"
"P62979","UBA80"
"P18564","UniProt:P18564 ITGB6"
"P18564","ITGB6"
"P12755","UniProt:P12755 SKI"
"P12755","SKI"
"Q9HAU4","SMURF2"
"Q9HAU4","UniProt:Q9HAU4 SMURF2"
"Q13145","UniProt:Q13145 BAMBI"
"Q13145","NMA"
"Q13145","BAMBI"
"P84022","MADH3"
"P84022","UniProt:P84022 SMAD3"
"P84022","SMAD3"
"P62942","FKBP12"
"P62942","UniProt:P62942 FKBP1A"
"P62942","FKBP1"
"P62942","FKBP1A"
"P06756","VTNR"
"P06756","UniProt:P06756 ITGAV"
"P06756","ITGAV"
"P06756","VNRA"
"P06756","MSK8"
"P67809","UniProt:P67809 YBX1"
"P67809","YBX1"
"P67809","NSEP1"
"P67809","YB1"
"P62136","PPP1CA"
"P62136","UniProt:P62136 PPP1CA"
"P62136","PPP1A"
"Q13547","UniProt:Q13547 HDAC1"
"Q13547","HDAC1"
"Q13547","RPD3L1"
"P17275","JUNB"
"P17275","UniProt:P17275 JUNB"
"P61081","UniProt:P61081 UBE2M"
"P61081","UBC12"
"P61081","UBE2M"
"P36897","UniProt:P36897 TGFBR1"
"P36897","SKR4"
"P36897","TGFBR1"
"P36897","ALK5"
"O60563","CCNT1"
"O60563","UniProt:O60563 CCNT1"
"P05121","SERPINE1"
"P05121","UniProt:P05121 SERPINE1"
"P05121","PAI1"
"P05121","PLANH1"
"Q9UNE7","UniProt:Q9UNE7 STUB1"
"Q9UNE7","PP1131"
"Q9UNE7","STUB1"
"Q9UNE7","CHIP"
"Q14186","TFDP1"
"Q14186","DP1"
"Q14186","UniProt:Q14186 TFDP1"
"Q9UPN9","KIAA1113"
"Q9UPN9","TRIM33"
"Q9UPN9","RFG7"
"Q9UPN9","TIF1G"
"Q9UPN9","UniProt:Q9UPN9 TRIM33"
"Q15329","UniProt:Q15329 E2F5"
"Q15329","E2F5"
"P27361","UniProt:P27361 MAPK3"
"P27361","PRKM3"
"P27361","ERK1"
"P27361","MAPK3"
"P51668","SFT"
"P51668","UniProt:P51668 UBE2D1"
"P51668","UBE2D1"
"P51668","UBCH5"
"P51668","UBC5A"
"P51668","UBCH5A"
"Q9GZV5","WWTR1"
"Q9GZV5","UniProt:Q9GZV5 WWTR1"
"Q9GZV5","TAZ"
"P09958","FUR"
"P09958","UniProt:P09958 FURIN"
"P09958","PCSK3"
"P09958","PACE"
"P09958","FURIN"
"Q9NPB6","PARD6A"
"Q9NPB6","UniProt:Q9NPB6 PARD6A"
"Q9NPB6","PAR6A"
"Q16254","UniProt:Q16254 E2F4"
"Q16254","E2F4"
"P28482","PRKM2"
"P28482","MAPK1"
"P28482","ERK2"
"P28482","UniProt:P28482 MAPK1"
"P28482","PRKM1"
"P62140","PPP1CB"
"P62140","UniProt:P62140 PPP1CB"
"O00255","UniProt:O00255 MEN1"
"O00255","SCG2"
"O00255","MEN1"
"P61077","UBCH5C"
"P61077","UBC5C"
"P61077","UBE2D3"
"P61077","UniProt:P61077 UBE2D3"
"P62987","UniProt:P62987 UBA52"
"P62987","UBCEP2"
"P62987","UBA52"
"Q9HCE7","KIAA1625"
"Q9HCE7","SMURF1"
"Q9HCE7","UniProt:Q9HCE7 SMURF1"
"P26012","UniProt:P26012 ITGB8"
"P26012","ITGB8"
"P05556","UniProt:P05556 ITGB1"
"P05556","MSK12"
"P05556","FNRB"
"P05556","ITGB1"
"P05556","MDF2"
"Q15843","NEDD8"
"Q15843","UniProt:Q15843 NEDD8"
"Q13485","MADH4"
"Q13485","DPC4"
"Q13485","SMAD4"
"Q13485","UniProt:Q13485 SMAD4"
"Q9Y4E8","UniProt:Q9Y4E8 USP15"
"Q9Y4E8","USP15"
"Q9Y4E8","KIAA0529"
"P12757","SKIL"
"P12757","SNO"
"P12757","UniProt:P12757 SKIL"
"Q14188","TFDP2"
"Q14188","UniProt:Q14188 TFDP2"
"Q14188","DP2"
"P01137","TGFB"
"P01137","TGFB1"
"P01137","UniProt:P01137 TGFB1"
"P28749","RBL1"
"P28749","UniProt:P28749 RBL1"
"P24863","CCNC"
"P24863","UniProt:P24863 CCNC"
"O14980","UniProt:O14980 XPO1"
"O14980","CRM1"
"O14980","XPO1"
"P0CG47","UBB"
"P0CG47","UniProt:P0CG47 UBB"
"P61812","TGFB2"
"P61812","UniProt:P61812 TGFB2"
"P0CG48","UniProt:P0CG48 UBC"
"P0CG48","UBC"
"Q9Y618","CTG26"
"Q9Y618","UniProt:Q9Y618 NCOR2"
"Q9Y618","NCOR2"
"O15105","MADH7"
