Source,Destination,Valeur
Q15583,Q9Y5K5,0.2963850906182176
Q9Y5K5,Q15583,0.2963850906182176
Q15583,Q9HCE7,0.2963850906182176
Q9HCE7,Q15583,0.2963850906182176
Q15583,Q9Y618,0.2609127724559987
Q9Y618,Q15583,0.2609127724559987
Q15583,Q9HAU4,0.2963850906182176
Q9HAU4,Q15583,0.2963850906182176
Q15583,Q8N2S1,0.1051600884334792
Q8N2S1,Q15583,0.1051600884334792
Q15583,Q9NPB6,0
Q9NPB6,Q15583,0
Q15583,Q969W9,0.2963850906182176
Q969W9,Q15583,0.2963850906182176
Q15583,Q6ZSZ5,0
Q6ZSZ5,Q15583,0
Q15583,Q9Y4E8,0.2963850906182176
Q9Y4E8,Q15583,0.2963850906182176
Q15583,Q9P2M7,0
Q9P2M7,Q15583,0
Q15583,Q9GZN2,0.2609127724559987
Q9GZN2,Q15583,0.2609127724559987
Q15583,Q9UPN9,0.2609127724559987
Q9UPN9,Q15583,0.2609127724559987
Q15583,Q9NS15,0.1051600884334792
Q9NS15,Q15583,0.1051600884334792
Q15583,Q9UN42,0.2609127724559987
Q9UN42,Q15583,0.2609127724559987
Q15583,Q16254,0.2609127724559987
Q16254,Q15583,0.2609127724559987
Q15583,Q9Y624,0
Q9Y624,Q15583,0
Q15583,Q8TEW0,0
Q8TEW0,Q15583,0
Q15583,Q15843,0.1051600884334792
Q15843,Q15583,0.1051600884334792
Q15583,Q96PU5,0.2963850906182176
Q96PU5,Q15583,0.2963850906182176
Q15583,Q15796,0.2963850906182176
Q15796,Q15583,0.2963850906182176
Q15583,Q9Y3F4,0.2963850906182176
Q9Y3F4,Q15583,0.2963850906182176
Q15583,Q9GZV5,0.2609127724559987
Q9GZV5,Q15583,0.2609127724559987
Q15583,Q93008,0.2609127724559987
Q93008,Q15583,0.2609127724559987
Q15583,Q9NYA4,0.2963850906182176
Q9NYA4,Q15583,0.2963850906182176
Q15583,Q6ZNA4,0.2609127724559987
Q6ZNA4,Q15583,0.2609127724559987
Q15583,Q9UNE7,0.2963850906182176
Q9UNE7,Q15583,0.2963850906182176
Q9Y5K5,Q9Y618,0.2963850906182176
Q9Y618,Q9Y5K5,0.2963850906182176
Q9Y5K5,Q9Y624,0.244207078953146
Q9Y624,Q9Y5K5,0.244207078953146
Q9HCE7,Q9Y5K5,0.305725116872361
Q9Y5K5,Q9HCE7,0.305725116872361
Q9HCE7,Q9Y618,0.2963850906182176
Q9Y618,Q9HCE7,0.2963850906182176
Q9HCE7,Q9NPB6,0.244207078953146
Q9NPB6,Q9HCE7,0.244207078953146
Q9HCE7,Q9Y4E8,0.305725116872361
Q9Y4E8,Q9HCE7,0.305725116872361
Q9HCE7,Q9P2M7,0.244207078953146
Q9P2M7,Q9HCE7,0.244207078953146
Q9HCE7,Q9UPN9,0.2963850906182176
Q9UPN9,Q9HCE7,0.2963850906182176
Q9HCE7,Q9NS15,0.305725116872361
Q9NS15,Q9HCE7,0.305725116872361
Q9HCE7,Q9UN42,0.2963850906182176
Q9UN42,Q9HCE7,0.2963850906182176
Q9HCE7,Q9Y624,0.244207078953146
Q9Y624,Q9HCE7,0.244207078953146
Q9HCE7,Q9Y3F4,0.305725116872361
Q9Y3F4,Q9HCE7,0.305725116872361
Q9HCE7,Q9NYA4,0.305725116872361
Q9NYA4,Q9HCE7,0.305725116872361
Q9HCE7,Q9UNE7,0.305725116872361
Q9UNE7,Q9HCE7,0.305725116872361
O60583,Q15583,0.2609127724559987
Q15583,O60583,0.2609127724559987
O60583,Q9Y5K5,0.1051600884334792
Q9Y5K5,O60583,0.1051600884334792
O60583,Q9HCE7,0.1051600884334792
Q9HCE7,O60583,0.1051600884334792
O60583,P84022,0.2609127724559987
P84022,O60583,0.2609127724559987
O60583,Q9Y618,0.2609127724559987
Q9Y618,O60583,0.2609127724559987
O60583,Q03167,0.1051600884334792
Q03167,O60583,0.1051600884334792
O60583,Q9HAU4,0.2609127724559987
Q9HAU4,O60583,0.2609127724559987
O60583,P62942,0.1051600884334792
P62942,O60583,0.1051600884334792
O60583,Q8N2S1,0.1051600884334792
Q8N2S1,O60583,0.1051600884334792
O60583,Q9NPB6,0
Q9NPB6,O60583,0
O60583,Q969W9,0.1051600884334792
Q969W9,O60583,0.1051600884334792
O60583,Q6ZSZ5,0
Q6ZSZ5,O60583,0
O60583,Q9Y4E8,0.1051600884334792
Q9Y4E8,O60583,0.1051600884334792
O60583,P27361,0.2609127724559987
P27361,O60583,0.2609127724559987
O60583,P62140,0.1051600884334792
P62140,O60583,0.1051600884334792
O60583,O75909,0
O75909,O60583,0
O60583,Q14766,0.1051600884334792
Q14766,O60583,0.1051600884334792
O60583,P09958,0
P09958,O60583,0
O60583,Q13573,0.2609127724559987
Q13573,O60583,0.2609127724559987
O60583,P51668,0.2609127724559987
P51668,O60583,0.2609127724559987
O60583,P61812,0.1051600884334792
P61812,O60583,0.1051600884334792
O60583,P22681,0.1051600884334792
P22681,O60583,0.1051600884334792
O60583,P36873,0.1051600884334792
P36873,O60583,0.1051600884334792
O60583,P62136,0.1051600884334792
P62136,O60583,0.1051600884334792
O60583,P0CG48,0.2609127724559987
P0CG48,O60583,0.2609127724559987
O60583,P08123,0
P08123,O60583,0
O60583,Q9P2M7,0
Q9P2M7,O60583,0
O60583,P06756,0.1051600884334792
P06756,O60583,0.1051600884334792
O60583,P61586,0
P61586,O60583,0
O60583,Q9GZN2,0.2609127724559987
Q9GZN2,O60583,0.2609127724559987
O60583,P24863,0
P24863,O60583,0
O60583,P67809,0
P67809,O60583,0
O60583,P36897,0.1051600884334792
P36897,O60583,0.1051600884334792
O60583,Q9UPN9,0.2609127724559987
Q9UPN9,O60583,0.2609127724559987
O60583,P28482,0.2609127724559987
P28482,O60583,0.2609127724559987
O60583,P01137,0.1051600884334792
P01137,O60583,0.1051600884334792
O60583,P09874,0.2609127724559987
P09874,O60583,0.2609127724559987
O60583,P18084,0.1051600884334792
P18084,O60583,0.1051600884334792
O60583,P49336,0
P49336,O60583,0
O60583,Q9NS15,0.1051600884334792
Q9NS15,O60583,0.1051600884334792
O60583,Q9UN42,0.2609127724559987
Q9UN42,O60583,0.2609127724559987
O60583,P12757,0.2609127724559987
P12757,O60583,0.2609127724559987
O60583,Q15329,0
Q15329,O60583,0
O60583,P05556,0.1051600884334792
P05556,O60583,0.1051600884334792
O60583,P18564,0.1051600884334792
P18564,O60583,0.1051600884334792
O60583,P08047,0
P08047,O60583,0
O60583,Q16254,0
Q16254,O60583,0
O60583,P05121,0
P05121,O60583,0
O60583,Q13145,0.1051600884334792
Q13145,O60583,0.1051600884334792
O60583,P61077,0.2609127724559987
P61077,O60583,0.2609127724559987
O60583,Q9Y624,0
Q9Y624,O60583,0
O60583,P62987,0.2609127724559987
P62987,O60583,0.2609127724559987
O60583,P12755,0.2609127724559987
P12755,O60583,0.2609127724559987
O60583,Q8TEW0,0
Q8TEW0,O60583,0
O60583,Q15843,0.1051600884334792
Q15843,O60583,0.1051600884334792
O60583,Q14767,0.1051600884334792
Q14767,O60583,0.1051600884334792
O60583,Q96PU5,0.2609127724559987
Q96PU5,O60583,0.2609127724559987
O60583,P26012,0.1051600884334792
P26012,O60583,0.1051600884334792
O60583,P62979,0.2609127724559987
P62979,O60583,0.2609127724559987
O60583,Q15796,0.2609127724559987
Q15796,O60583,0.2609127724559987
O60583,Q9Y3F4,0.1051600884334792
Q9Y3F4,O60583,0.1051600884334792
O60583,O75807,0.1051600884334792
O75807,O60583,0.1051600884334792
O60583,P53708,0.1051600884334792
P53708,O60583,0.1051600884334792
O60583,P0CG47,0.2609127724559987
P0CG47,O60583,0.2609127724559987
O60583,P61081,0.1051600884334792
P61081,O60583,0.1051600884334792
O60583,Q05513,0
Q05513,O60583,0
O60583,Q9GZV5,0.2609127724559987
Q9GZV5,O60583,0.2609127724559987
O60583,P42772,0
P42772,O60583,0
O60583,O75376,0.2609127724559987
O75376,O60583,0.2609127724559987
O60583,Q93008,0.2609127724559987
Q93008,O60583,0.2609127724559987
O60583,P01106,0
P01106,O60583,0
O60583,P37173,0.1051600884334792
P37173,O60583,0.1051600884334792
O60583,P10600,0.1051600884334792
P10600,O60583,0.1051600884334792
O60583,P05106,0.1051600884334792
P05106,O60583,0.1051600884334792
O60583,Q9NYA4,0.1051600884334792
Q9NYA4,O60583,0.1051600884334792
O60583,Q14186,0
Q14186,O60583,0
O60583,Q6ZNA4,0.2609127724559987
Q6ZNA4,O60583,0.2609127724559987
O60583,P35813,0.2609127724559987
P35813,O60583,0.2609127724559987
O60583,Q14188,0
Q14188,O60583,0
O60583,Q9UNE7,0.1051600884334792
Q9UNE7,O60583,0.1051600884334792
O60583,Q13547,0.2609127724559987
Q13547,O60583,0.2609127724559987
O60583,P17275,0
P17275,O60583,0
O60583,P50750,0
P50750,O60583,0
