"pathwayID","pathwayName"
"R-HSA-201451","Signaling by BMP"
"R-HSA-9006936","Signaling by TGFB family members"
"R-HSA-9839383","TGFBR3 PTM regulation"
"R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"
"R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"
"R-HSA-2173789","TGF-beta receptor signaling activates SMADs"
"R-HSA-9839394","TGFBR3 expression"
"R-HSA-9839373","Signaling by TGFBR3"
"R-HSA-9839406","TGFBR3 regulates activin signaling"
"R-HSA-9839397","TGFBR3 regulates FGF2 signaling"
"R-HSA-2173788","Downregulation of TGF-beta receptor signaling"
"R-HSA-2173791","TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)"
"R-HSA-170834","Signaling by TGF-beta Receptor Complex"
"R-HSA-9839389","TGFBR3 regulates TGF-beta signaling"
"R-HSA-2473224","Antagonism of Activin by Follistatin"
"R-HSA-1502540","Signaling by Activin"
"R-HSA-2173795","Downregulation of SMAD2/3:SMAD4 transcriptional activity"
