"entityID","entityName"
"Q03167","TGFBR3"
"Q03167","UniProt:Q03167 TGFBR3"
"P09038","FGF2"
"P09038","FGFB"
"P09038","UniProt:P09038 FGF2"
"O14908","C19orf3"
"O14908","GIPC1"
"O14908","UniProt:O14908 GIPC1"
"O14908","GIPC"
"O14908","RGS19IP1"
"P61812","TGFB2"
"P61812","UniProt:P61812 TGFB2"
"P01137","TGFB"
"P01137","TGFB1"
"P01137","UniProt:P01137 TGFB1"
"P49407","ARR1"
"P49407","UniProt:P49407 ARRB1"
"P49407","ARRB1"
"P32121","ARR2"
"P32121","UniProt:P32121 ARRB2"
"P32121","ARB2"
"P32121","ARRB2"
"P37173","TGFBR2"
"P37173","UniProt:P37173 TGFBR2"
"P08476","UniProt:P08476 INHBA"
"P08476","INHBA"
"P05111","INHA"
"P05111","UniProt:P05111 INHA"
"P27037","UniProt:P27037 ACVR2A"
"P27037","ACVR2A"
"P27037","ACVR2"
"Q9UPQ9","TNRC6B"
"Q9UPQ9","UniProt:Q9UPQ9 TNRC6B"
"Q9UPQ9","KIAA1093"
"Q9HCJ0","TNRC6C"
"Q9HCJ0","KIAA1582"
"Q9HCJ0","UniProt:Q9HCJ0 TNRC6C"
"Q8NDV7","CAGH26"
"Q8NDV7","UniProt:Q8NDV7 TNRC6A"
"Q8NDV7","TNRC6"
"Q8NDV7","TNRC6A"
"Q8NDV7","KIAA1460"
"Q9H9G7","EIF2C3"
"Q9H9G7","AGO3"
"Q9H9G7","UniProt:Q9H9G7 AGO3"
"Q9UL18","AGO1"
"Q9UL18","UniProt:Q9UL18 AGO1"
"Q9UL18","EIF2C1"
"Q9HCK5","AGO4"
"Q9HCK5","UniProt:Q9HCK5 AGO4"
"Q9HCK5","EIF2C4"
"Q9HCK5","KIAA1567"
"Q9HCE1","KIAA1631"
"Q9HCE1","MOV10"
"Q9HCE1","UniProt:Q9HCE1 MOV10"
"Q9UKV8","UniProt:Q9UKV8 AGO2"
"Q9UKV8","AGO2"
"Q9UKV8","EIF2C2"
"P19793","UniProt:P19793 RXRA"
"P19793","RXRA"
"P19793","NR2B1"
"P10276","RARA"
"P10276","NR1B1"
"P10276","UniProt:P10276 RARA"
"P08047","UniProt:P08047 SP1"
"P08047","SP1"
"P08047","TSFP1"
"P15923","BHLHB21"
"P15923","TCF3"
"P15923","UniProt:P15923 TCF3"
"P15923","E2A"
"P15923","ITF1"
"P15884","TCF4"
"P15884","ITF2"
"P15884","SEF2"
"P15884","UniProt:P15884 TCF4"
"P15884","BHLHB19"
"Q99081","HTF4"
"Q99081","TCF12"
"Q99081","HEB"
"Q99081","BHLHB20"
"Q99081","UniProt:Q99081 TCF12"
"P15172","MYF3"
"P15172","MYOD"
"P15172","UniProt:P15172 MYOD1"
"P15172","BHLHC1"
"P15172","MYOD1"
"P23409","BHLHC4"
"P23409","MRF4"
"P23409","MYF6"
"P23409","UniProt:P23409 MYF6"
"P13349","MYF5"
"P13349","BHLHC2"
"P13349","UniProt:P13349 MYF5"
"P15173","BHLHC3"
"P15173","UniProt:P15173 MYOG"
"P15173","MYF4"
"P15173","MYOG"
"Q6ZSZ5","KIAA0521"
"Q6ZSZ5","UniProt:Q6ZSZ5 ARHGEF18"
"Q6ZSZ5","ARHGEF18"
"Q9NPB6","PARD6A"
"Q9NPB6","UniProt:Q9NPB6 PARD6A"
"Q9NPB6","PAR6A"
"Q8TEW0","PAR3A"
"Q8TEW0","UniProt:Q8TEW0 PARD3"
"Q8TEW0","PARD3"
"Q8TEW0","PAR3"
"Q05513","PKC2"
"Q05513","UniProt:Q05513 PRKCZ"
"Q05513","PRKCZ"
"Q9Y624","JCAM"
"Q9Y624","UNQ264/PRO301"
"Q9Y624","UniProt:Q9Y624 F11R"
"Q9Y624","JAM1"
"Q9Y624","F11R"
"Q9P2M7","KIAA1319"
"Q9P2M7","UniProt:Q9P2M7 CGN"
"Q9P2M7","CGN"
"P61586","RHO12"
"P61586","RHOA"
"P61586","UniProt:P61586 RHOA"
"P61586","ARH12"
"P61586","ARHA"
"P36897","UniProt:P36897 TGFBR1"
"P36897","SKR4"
"P36897","TGFBR1"
"P36897","ALK5"
"Q9HCE7","KIAA1625"
"Q9HCE7","SMURF1"
"Q9HCE7","UniProt:Q9HCE7 SMURF1"
"P62942","FKBP12"
"P62942","UniProt:P62942 FKBP1A"
"P62942","FKBP1"
"P62942","FKBP1A"
"P0CG48","UniProt:P0CG48 UBC"
"P0CG48","UBC"
"P0CG47","UBB"
"P0CG47","UniProt:P0CG47 UBB"
"P62987","UniProt:P62987 UBA52"
"P62987","UBCEP2"
"P62987","UBA52"
"P62979","UniProt:P62979 RPS27A"
"P62979","UBCEP1"
"P62979","RPS27A"
"P62979","UBA80"
"P22681","RNF55"
"P22681","CBL"
"P22681","CBL2"
"P22681","UniProt:P22681 CBL"
"Q9NS15","UniProt:Q9NS15 LTBP3"
"Q9NS15","LTBP3"
"Q14766","UniProt:Q14766 LTBP1"
"Q14766","LTBP1"
"P10600","UniProt:P10600 TGFB3"
"P10600","TGFB3"
"Q15796","UniProt:Q15796 SMAD2"
"Q15796","MADR2"
"Q15796","SMAD2"
"Q15796","MADH2"
"P84022","MADH3"
"P84022","UniProt:P84022 SMAD3"
"P84022","SMAD3"
"Q8N2S1","UniProt:Q8N2S1 LTBP4"
"Q8N2S1","LTBP4"
"Q14767","LTBP2"
"Q14767","UniProt:Q14767 LTBP2"
"Q14767","C14orf141"
"Q14767","LTBP3"
"P61081","UniProt:P61081 UBE2M"
"P61081","UBC12"
"P61081","UBE2M"
"Q15843","NEDD8"
"Q15843","UniProt:Q15843 NEDD8"
"O15105","MADH7"
"O15105","SMAD7"
"O15105","UniProt:O15105 SMAD7"
"O15105","MADH8"
"Q9HAU4","SMURF2"
"Q9HAU4","UniProt:Q9HAU4 SMURF2"
"Q96PU5","KIAA0439"
"Q96PU5","NEDD4L"
"Q96PU5","UniProt:Q96PU5 NEDD4L"
"Q96PU5","NEDL3"
"Q9Y4E8","UniProt:Q9Y4E8 USP15"
"Q9Y4E8","USP15"
"Q9Y4E8","KIAA0529"
"Q9Y5K5","CGI-70"
"Q9Y5K5","AD-019"
"Q9Y5K5","UCH37"
"Q9Y5K5","UniProt:Q9Y5K5 UCHL5"
"Q9Y5K5","UCHL5"
"Q9NYA4","MTMR4"
"Q9NYA4","KIAA0647"
"Q9NYA4","ZFYVE11"
"Q9NYA4","UniProt:Q9NYA4 MTMR4"
"Q9Y3F4","UNRIP"
"Q9Y3F4","STRAP"
"Q9Y3F4","MAWD"
"Q9Y3F4","UniProt:Q9Y3F4 STRAP"
"O14980","UniProt:O14980 XPO1"
"O14980","CRM1"
"O14980","XPO1"
"Q13145","UniProt:Q13145 BAMBI"
"Q13145","NMA"
"Q13145","BAMBI"
"Q969W9","PMEPA1"
"Q969W9","UniProt:Q969W9 PMEPA1"
"Q969W9","TMEPAI"
"Q969W9","STAG1"
"Q9UNE7","UniProt:Q9UNE7 STUB1"
"Q9UNE7","PP1131"
"Q9UNE7","STUB1"
"Q9UNE7","CHIP"
"P62136","PPP1CA"
"P62136","UniProt:P62136 PPP1CA"
"P62136","PPP1A"
"P36873","PPP1CC"
"P36873","UniProt:P36873 PPP1CC"
"P62140","PPP1CB"
"P62140","UniProt:P62140 PPP1CB"
"O75807","GADD34"
"O75807","PPP1R15A"
"O75807","UniProt:O75807 PPP1R15A"
"P05106","ITGB3"
"P05106","GP3A"
"P05106","UniProt:P05106 ITGB3"
"P06756","VTNR"
"P06756","UniProt:P06756 ITGAV"
"P06756","ITGAV"
"P06756","VNRA"
"P06756","MSK8"
"P26012","UniProt:P26012 ITGB8"
"P26012","ITGB8"
"P18084","UniProt:P18084 ITGB5"
"P18084","ITGB5"
"P05556","UniProt:P05556 ITGB1"
"P05556","MSK12"
"P05556","FNRB"
"P05556","ITGB1"
"P05556","MDF2"
"P53708","ITGA8"
"P53708","UniProt:P53708 ITGA8"
"P18564","UniProt:P18564 ITGB6"
"P18564","ITGB6"
"Q13485","MADH4"
"Q13485","DPC4"
"Q13485","SMAD4"
"Q13485","UniProt:Q13485 SMAD4"
"Q9GZV5","WWTR1"
"Q9GZV5","UniProt:Q9GZV5 WWTR1"
"Q9GZV5","TAZ"
