Source,Interaction,Target
http://www.reactome.org/biopax/96/9612973#ProteinReference115,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference117
http://www.reactome.org/biopax/96/9612973#ProteinReference81,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference91
http://www.reactome.org/biopax/96/9612973#ProteinReference34,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference36
http://www.reactome.org/biopax/96/9612973#ProteinReference105,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference128
http://www.reactome.org/biopax/96/9612973#ProteinReference14,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference8
http://www.reactome.org/biopax/96/9612973#ProteinReference109,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference133
http://www.reactome.org/biopax/96/9612973#ProteinReference55,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference57
http://www.reactome.org/biopax/96/9612973#ProteinReference63,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference87
http://www.reactome.org/biopax/96/9612973#ProteinReference128,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference87
http://www.reactome.org/biopax/96/9612973#ProteinReference135,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference139
http://www.reactome.org/biopax/96/9612973#ProteinReference11,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference8
http://www.reactome.org/biopax/96/9612973#ProteinReference43,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference49
http://www.reactome.org/biopax/96/9612973#ProteinReference49,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference58
http://www.reactome.org/biopax/96/9612973#ProteinReference111,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference86
http://www.reactome.org/biopax/96/9612973#ProteinReference120,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference19
http://www.reactome.org/biopax/96/9612973#ProteinReference118,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference138
http://www.reactome.org/biopax/96/9612973#ProteinReference120,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference62
http://www.reactome.org/biopax/96/9612973#ProteinReference34,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference53
http://www.reactome.org/biopax/96/9612973#ProteinReference134,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference68
http://www.reactome.org/biopax/96/9612973#ProteinReference134,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference63
http://www.reactome.org/biopax/96/9612973#ProteinReference54,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference60
http://www.reactome.org/biopax/96/9612973#ProteinReference21,abstraction:NeighborOf,http://www.reactome.org/biopax/96/9612973#ProteinReference9
