Source,Interaction,Target
http://www.reactome.org/biopax/96/1643685#ProteinReference1492,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1501,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1481,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference137,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference409
http://www.reactome.org/biopax/96/1643685#ProteinReference218,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference228
http://www.reactome.org/biopax/96/1643685#ProteinReference212,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference227
http://www.reactome.org/biopax/96/1643685#ProteinReference1489,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference183,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference226
http://www.reactome.org/biopax/96/1643685#ProteinReference479,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference472
http://www.reactome.org/biopax/96/1643685#ProteinReference1463,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1468,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference17,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1514,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference421,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference464
http://www.reactome.org/biopax/96/1643685#ProteinReference223,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference225
http://www.reactome.org/biopax/96/1643685#ProteinReference1458,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference2179,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference2157
http://www.reactome.org/biopax/96/1643685#ProteinReference211,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference225
http://www.reactome.org/biopax/96/1643685#ProteinReference52,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference409
http://www.reactome.org/biopax/96/1643685#ProteinReference222,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference226
http://www.reactome.org/biopax/96/1643685#ProteinReference220,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference229
http://www.reactome.org/biopax/96/1643685#ProteinReference441,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference2157
http://www.reactome.org/biopax/96/1643685#ProteinReference449,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference452
http://www.reactome.org/biopax/96/1643685#ProteinReference219,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference230
http://www.reactome.org/biopax/96/1643685#ProteinReference469,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference470
http://www.reactome.org/biopax/96/1643685#ProteinReference53,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference165
http://www.reactome.org/biopax/96/1643685#ProteinReference211,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference228
http://www.reactome.org/biopax/96/1643685#ProteinReference1473,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference217,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference229
http://www.reactome.org/biopax/96/1643685#ProteinReference220,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference227
http://www.reactome.org/biopax/96/1643685#ProteinReference2456,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1755
http://www.reactome.org/biopax/96/1643685#ProteinReference1503,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference461,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference460
http://www.reactome.org/biopax/96/1643685#ProteinReference1513,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1443,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1616,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1755
http://www.reactome.org/biopax/96/1643685#ProteinReference217,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference227
http://www.reactome.org/biopax/96/1643685#ProteinReference1495,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference222,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference227
http://www.reactome.org/biopax/96/1643685#ProteinReference1506,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1520,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference219,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference226
http://www.reactome.org/biopax/96/1643685#ProteinReference224,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference229
http://www.reactome.org/biopax/96/1643685#ProteinReference217,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference225
http://www.reactome.org/biopax/96/1643685#ProteinReference174,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference593
http://www.reactome.org/biopax/96/1643685#ProteinReference1455,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1453,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1485,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference218,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference230
http://www.reactome.org/biopax/96/1643685#ProteinReference359,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference465
http://www.reactome.org/biopax/96/1643685#ProteinReference53,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference410
http://www.reactome.org/biopax/96/1643685#ProteinReference212,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference229
http://www.reactome.org/biopax/96/1643685#ProteinReference224,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference225
http://www.reactome.org/biopax/96/1643685#ProteinReference221,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference226
http://www.reactome.org/biopax/96/1643685#ProteinReference1523,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference421,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference463
http://www.reactome.org/biopax/96/1643685#ProteinReference2187,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference2157
http://www.reactome.org/biopax/96/1643685#ProteinReference1471,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1488,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference218,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference226
http://www.reactome.org/biopax/96/1643685#ProteinReference223,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference229
http://www.reactome.org/biopax/96/1643685#ProteinReference1477,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1470,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1464,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference1474,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference223,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference230
http://www.reactome.org/biopax/96/1643685#ProteinReference211,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference230
http://www.reactome.org/biopax/96/1643685#ProteinReference1510,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference174,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference575
http://www.reactome.org/biopax/96/1643685#ProteinReference1498,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference212,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference225
http://www.reactome.org/biopax/96/1643685#ProteinReference1447,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference461,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
http://www.reactome.org/biopax/96/1643685#ProteinReference200,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference473
http://www.reactome.org/biopax/96/1643685#ProteinReference221,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference227
http://www.reactome.org/biopax/96/1643685#ProteinReference1448,abstraction:ControlsExpressionOf,http://www.reactome.org/biopax/96/1643685#ProteinReference1441
