Source,Interaction,Target
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference35,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference88
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference149
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference148
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference34,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference97
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference117
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference19
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference142
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference144
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference127
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference29
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference34,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference63
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference34,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference65
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference28
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference34,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference89
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference24
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference34,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference88
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference35,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference57
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference20
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference141
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference34,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference58
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference129
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference18
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference25
http://www.reactome.org/biopax/96/73894#SmallMoleculeReference36,abstraction:ChemicalAffects,http://www.reactome.org/biopax/96/73894#ProteinReference132
