Source,Interaction,Target
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference13,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference26
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference52,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference51
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference26,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference29
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference28,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference13
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference26,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference62
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference61,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference62
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference59,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference26
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference62,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference61
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference13,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference62
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference59,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference29
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference63,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference59
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference51,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference52
http://www.reactome.org/biopax/96/109582#SmallMoleculeReference62,abstraction:ReactsWith,http://www.reactome.org/biopax/96/109582#SmallMoleculeReference26
