Source,Interaction,Target
http://www.reactome.org/biopax/96/1430728#ProteinReference1347,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference1272
http://www.reactome.org/biopax/96/1430728#ProteinReference606,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference1350
http://www.reactome.org/biopax/96/1430728#ProteinReference1175,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference386
http://www.reactome.org/biopax/96/1430728#ProteinReference170,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference195
http://www.reactome.org/biopax/96/1430728#ProteinReference618,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference1572
http://www.reactome.org/biopax/96/1430728#ProteinReference656,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference484
http://www.reactome.org/biopax/96/1430728#ProteinReference335,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference82
http://www.reactome.org/biopax/96/1430728#ProteinReference1972,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference484
http://www.reactome.org/biopax/96/1430728#ProteinReference793,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference647
http://www.reactome.org/biopax/96/1430728#ProteinReference1962,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference1932
http://www.reactome.org/biopax/96/1430728#ProteinReference282,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference137
http://www.reactome.org/biopax/96/1430728#ProteinReference305,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference88
http://www.reactome.org/biopax/96/1430728#ProteinReference497,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference1002
http://www.reactome.org/biopax/96/1430728#ProteinReference490,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference1484
http://www.reactome.org/biopax/96/1430728#ProteinReference2155,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference2175
http://www.reactome.org/biopax/96/1430728#ProteinReference328,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference342
http://www.reactome.org/biopax/96/1430728#ProteinReference1343,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference1272
http://www.reactome.org/biopax/96/1430728#ProteinReference321,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference67
http://www.reactome.org/biopax/96/1430728#ProteinReference2155,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference2161
http://www.reactome.org/biopax/96/1430728#ProteinReference2015,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference2032
http://www.reactome.org/biopax/96/1430728#ProteinReference813,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference845
http://www.reactome.org/biopax/96/1430728#ProteinReference695,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference728
http://www.reactome.org/biopax/96/1430728#ProteinReference1638,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference871
http://www.reactome.org/biopax/96/1430728#ProteinReference315,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference63
http://www.reactome.org/biopax/96/1430728#ProteinReference92,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference46
http://www.reactome.org/biopax/96/1430728#ProteinReference1351,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference1276
http://www.reactome.org/biopax/96/1430728#ProteinReference1772,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference1719
http://www.reactome.org/biopax/96/1430728#ProteinReference778,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference705
http://www.reactome.org/biopax/96/1430728#ProteinReference1116,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference84
http://www.reactome.org/biopax/96/1430728#ProteinReference2028,abstraction:CatalysisPrecedes,http://www.reactome.org/biopax/96/1430728#ProteinReference2128
