Source,Interaction,Target
http://www.reactome.org/biopax/96/1430728#ProteinReference1405,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference28
http://www.reactome.org/biopax/96/1430728#ProteinReference1020,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference723
http://www.reactome.org/biopax/96/1430728#ProteinReference62,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference187
http://www.reactome.org/biopax/96/1430728#ProteinReference1345,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference961
http://www.reactome.org/biopax/96/1430728#ProteinReference1540,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference945
http://www.reactome.org/biopax/96/1430728#ProteinReference331,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference185
http://www.reactome.org/biopax/96/1430728#ProteinReference2185,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference6
http://www.reactome.org/biopax/96/1430728#ProteinReference548,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference334
http://www.reactome.org/biopax/96/1430728#ProteinReference705,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference508
http://www.reactome.org/biopax/96/1430728#ProteinReference1452,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference6
http://www.reactome.org/biopax/96/1430728#ProteinReference1823,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference15
http://www.reactome.org/biopax/96/1430728#ProteinReference588,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference407
http://www.reactome.org/biopax/96/1430728#ProteinReference611,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference445
http://www.reactome.org/biopax/96/1430728#ProteinReference2128,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference103
http://www.reactome.org/biopax/96/1430728#ProteinReference1793,abstraction:ControlsProductionOf,http://www.reactome.org/biopax/96/1430728#SmallMoleculeReference1136
