Source,Interaction,Target
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference67,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference143
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference121,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference133
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference21,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference4
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference15,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference3
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference148,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference149
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference291,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference293
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference284,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference16
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference106,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference67
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference119,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference118
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference76,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference80
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference121,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference125
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference136,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference137
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference67,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference69
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference16,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference285
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference93,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference192
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference16,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference4
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference129,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference120
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference117,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference135
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference75,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference77
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference67,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference112
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference122,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference124
http://www.reactome.org/biopax/96/392499#SmallMoleculeReference175,abstraction:UsedToProduce,http://www.reactome.org/biopax/96/392499#SmallMoleculeReference108
