Source,Interaction,Target
http://www.reactome.org/biopax/96/9609507#ProteinReference19,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference6
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference8
http://www.reactome.org/biopax/96/9609507#ProteinReference15,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference9
http://www.reactome.org/biopax/96/9609507#ProteinReference15,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference11
http://www.reactome.org/biopax/96/9609507#ProteinReference18,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference3
http://www.reactome.org/biopax/96/9609507#ProteinReference14,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference4
http://www.reactome.org/biopax/96/9609507#ProteinReference19,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference3
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference12
http://www.reactome.org/biopax/96/9609507#ProteinReference1,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference10
http://www.reactome.org/biopax/96/9609507#ProteinReference14,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference5
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference13
http://www.reactome.org/biopax/96/9609507#ProteinReference15,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference7
http://www.reactome.org/biopax/96/9609507#ProteinReference15,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference6
http://www.reactome.org/biopax/96/9609507#ProteinReference14,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference11
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference10
http://www.reactome.org/biopax/96/9609507#ProteinReference18,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference2
http://www.reactome.org/biopax/96/9609507#ProteinReference19,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference2
http://www.reactome.org/biopax/96/9609507#ProteinReference15,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference3
http://www.reactome.org/biopax/96/9609507#ProteinReference13,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference36
http://www.reactome.org/biopax/96/9609507#ProteinReference19,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference12
http://www.reactome.org/biopax/96/9609507#ProteinReference14,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference6
http://www.reactome.org/biopax/96/9609507#ProteinReference18,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference13
http://www.reactome.org/biopax/96/9609507#ProteinReference19,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference13
http://www.reactome.org/biopax/96/9609507#ProteinReference1,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference9
http://www.reactome.org/biopax/96/9609507#ProteinReference17,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference8
http://www.reactome.org/biopax/96/9609507#ProteinReference49,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference1
http://www.reactome.org/biopax/96/9609507#ProteinReference13,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference2
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference4
http://www.reactome.org/biopax/96/9609507#ProteinReference1,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference7
http://www.reactome.org/biopax/96/9609507#ProteinReference14,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference3
http://www.reactome.org/biopax/96/9609507#ProteinReference15,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference2
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference9
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference11
http://www.reactome.org/biopax/96/9609507#ProteinReference18,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference1
http://www.reactome.org/biopax/96/9609507#ProteinReference15,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference13
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference7
http://www.reactome.org/biopax/96/9609507#ProteinReference17,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference1
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference6
http://www.reactome.org/biopax/96/9609507#ProteinReference17,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference10
http://www.reactome.org/biopax/96/9609507#ProteinReference18,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference6
http://www.reactome.org/biopax/96/9609507#ProteinReference14,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference12
http://www.reactome.org/biopax/96/9609507#ProteinReference14,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference13
http://www.reactome.org/biopax/96/9609507#ProteinReference15,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference1
http://www.reactome.org/biopax/96/9609507#ProteinReference18,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference5
http://www.reactome.org/biopax/96/9609507#ProteinReference47,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference1
http://www.reactome.org/biopax/96/9609507#ProteinReference16,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference3
http://www.reactome.org/biopax/96/9609507#ProteinReference1,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference2
http://www.reactome.org/biopax/96/9609507#ProteinReference1,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference8
http://www.reactome.org/biopax/96/9609507#ProteinReference17,abstraction:ControlsTransportOf,http://www.reactome.org/biopax/96/9609507#ProteinReference4
