Source,Interaction,Target
http://www.reactome.org/biopax/96/9709957#ProteinReference533,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference562
http://www.reactome.org/biopax/96/9709957#ProteinReference213,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference46
http://www.reactome.org/biopax/96/9709957#ProteinReference599,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference610
http://www.reactome.org/biopax/96/9709957#ProteinReference533,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference561
http://www.reactome.org/biopax/96/9709957#ProteinReference526,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference545
http://www.reactome.org/biopax/96/9709957#ProteinReference233,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference40
http://www.reactome.org/biopax/96/9709957#ProteinReference234,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference404
http://www.reactome.org/biopax/96/9709957#ProteinReference104,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference23
http://www.reactome.org/biopax/96/9709957#ProteinReference107,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference76
http://www.reactome.org/biopax/96/9709957#ProteinReference199,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference378
http://www.reactome.org/biopax/96/9709957#ProteinReference132,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference192
http://www.reactome.org/biopax/96/9709957#ProteinReference604,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference607
http://www.reactome.org/biopax/96/9709957#ProteinReference435,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference437
http://www.reactome.org/biopax/96/9709957#ProteinReference231,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference73
http://www.reactome.org/biopax/96/9709957#ProteinReference244,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference65
http://www.reactome.org/biopax/96/9709957#ProteinReference19,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference199
http://www.reactome.org/biopax/96/9709957#ProteinReference531,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference532
http://www.reactome.org/biopax/96/9709957#ProteinReference169,abstraction:InComplexWith,http://www.reactome.org/biopax/96/9709957#ProteinReference95
