Source,Interaction,Target
http://www.reactome.org/biopax/96/9709957#ProteinReference544,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference110
http://www.reactome.org/biopax/96/9709957#ProteinReference557,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference64
http://www.reactome.org/biopax/96/9709957#ProteinReference522,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference110
http://www.reactome.org/biopax/96/9709957#ProteinReference551,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference64
http://www.reactome.org/biopax/96/9709957#ProteinReference561,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference64
http://www.reactome.org/biopax/96/9709957#ProteinReference478,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference101
http://www.reactome.org/biopax/96/9709957#ProteinReference548,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference110
http://www.reactome.org/biopax/96/9709957#ProteinReference537,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference64
http://www.reactome.org/biopax/96/9709957#ProteinReference564,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference64
http://www.reactome.org/biopax/96/9709957#ProteinReference556,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference110
http://www.reactome.org/biopax/96/9709957#ProteinReference588,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference64
http://www.reactome.org/biopax/96/9709957#ProteinReference565,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference64
http://www.reactome.org/biopax/96/9709957#ProteinReference553,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference110
http://www.reactome.org/biopax/96/9709957#ProteinReference527,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference64
http://www.reactome.org/biopax/96/9709957#ProteinReference538,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference64
http://www.reactome.org/biopax/96/9709957#ProteinReference585,abstraction:ControlsTransportOfChemical,http://www.reactome.org/biopax/96/9709957#SmallMoleculeReference110
