pathwayID,nbID
R-HSA-2559582,80
R-HSA-3371453,75
R-HSA-3371497,38
R-HSA-9818026,5
R-HSA-9841251,18
R-HSA-9855142,102
R-HSA-9818030,11
R-HSA-381070,50
R-HSA-2559586,60
R-HSA-381183,10
R-HSA-381042,32
R-HSA-381119,93
R-HSA-9856530,70
R-HSA-9707564,59
R-HSA-381038,48
R-HSA-9648895,15
R-HSA-5661231,11
R-HSA-9818027,20
R-HSA-2559583,165
R-HSA-8953897,868
R-HSA-3371571,24
R-HSA-9633012,102
R-HSA-9818035,5
R-HSA-1234176,53
R-HSA-9759194,87
R-HSA-9840373,9
R-HSA-9708530,11
R-HSA-3371511,12
R-HSA-2262752,758
R-HSA-5660489,3
R-HSA-9639288,55
R-HSA-5660526,14
R-HSA-2559584,16
R-HSA-9818028,8
R-HSA-2559580,93
R-HSA-9707616,47
R-HSA-9711123,200
R-HSA-9818032,8
R-HSA-3299685,39
R-HSA-3371568,14
R-HSA-3371556,95
R-HSA-8874211,9
R-HSA-9711097,157
R-HSA-9818025,3
R-HSA-9856532,17
R-HSA-9860927,29
R-HSA-1234174,63
R-HSA-1234158,11
R-HSA-2559585,34
R-HSA-9762114,42
R-HSA-9818749,8
R-HSA-381033,12
R-HSA-9860931,92
R-HSA-8874177,4
R-HSA-380994,27
R-HSA-9755511,114
R-HSA-9707587,5
