pathwayID,entityID
R-HSA-110314,P35250
R-HSA-110314,P35251
R-HSA-110314,P40937
R-HSA-110314,P35249
R-HSA-110314,P40938
R-HSA-110314,P35244
R-HSA-110314,P27694
R-HSA-110314,P15927
R-HSA-110314,P12004
R-HSA-110314,Q07864
R-HSA-110314,Q9NRF9
R-HSA-110314,P56282
R-HSA-110314,Q9NR33
R-HSA-110314,P28340
R-HSA-110314,Q15054
R-HSA-110314,Q9HCU8
R-HSA-110314,P49005
R-HSA-110314,Q9NS91
R-HSA-110314,P63146
R-HSA-110314,Q16531
R-HSA-110314,Q9NZJ0
R-HSA-110314,P62877
R-HSA-110314,Q8TAF3
R-HSA-110314,O94782
R-HSA-110314,P0CG48
R-HSA-110314,P62987
R-HSA-110314,P0CG47
R-HSA-110314,P62979
R-HSA-6782135,P35244
R-HSA-6782135,P27694
R-HSA-6782135,P15927
R-HSA-6782135,O60306
R-HSA-6782135,Q9HCS7
R-HSA-6782135,Q9ULR0
R-HSA-6782135,Q9UMS4
R-HSA-6782135,Q96NB3
R-HSA-6782135,Q9UNP9
R-HSA-6782135,P23193
R-HSA-6782135,Q2YD98
R-HSA-6782135,Q93009
R-HSA-6782135,P23025
R-HSA-6782135,P19388
R-HSA-6782135,P24928
R-HSA-6782135,P19387
R-HSA-6782135,P62487
R-HSA-6782135,P52435
R-HSA-6782135,P52434
R-HSA-6782135,P62875
R-HSA-6782135,P61218
R-HSA-6782135,P53803
R-HSA-6782135,P36954
R-HSA-6782135,O15514
R-HSA-6782135,P30876
R-HSA-6782135,Q92759
R-HSA-6782135,P18074
R-HSA-6782135,Q13888
R-HSA-6782135,P19447
R-HSA-6782135,P32780
R-HSA-6782135,Q13889
R-HSA-6782135,P51946
R-HSA-6782135,P51948
R-HSA-6782135,P50613
R-HSA-6782135,Q6ZYL4
R-HSA-6782135,Q03468
R-HSA-6782135,Q16531
R-HSA-6782135,Q13216
R-HSA-6782135,P62877
R-HSA-6782135,P28715
R-HSA-6782135,P0CG48
R-HSA-6782135,P62987
R-HSA-6782135,P0CG47
R-HSA-6782135,P62979
R-HSA-6782135,Q13619
R-HSA-6782135,Q13620
R-HSA-6782135,P07992
R-HSA-6782135,Q92889
R-HSA-6782135,P35250
R-HSA-6782135,P35251
R-HSA-6782135,P40937
R-HSA-6782135,P35249
R-HSA-6782135,P40938
R-HSA-6782135,P12004
R-HSA-6782135,Q9UBT6
R-HSA-6782135,Q07864
R-HSA-6782135,Q9NRF9
R-HSA-6782135,P56282
R-HSA-6782135,Q9NR33
R-HSA-6782135,P28340
R-HSA-6782135,Q15054
R-HSA-6782135,Q9HCU8
R-HSA-6782135,P49005
R-HSA-5693568,Q96AY2
R-HSA-5693568,Q96NY9
R-HSA-5693568,A4GXA9
R-HSA-5693568,Q9BQ83
R-HSA-5693568,Q8IY92
R-HSA-5693568,Q13315
R-HSA-5693568,Q9BX63
R-HSA-5693568,P49959
R-HSA-5693568,O60934
R-HSA-5693568,Q92878
R-HSA-5693568,O43543
R-HSA-5693568,O75771
R-HSA-5693568,O43502
R-HSA-5693568,O15315
R-HSA-5693568,Q99708
R-HSA-5693568,Q86YC2
R-HSA-5693568,P60896
R-HSA-5693568,P51587
R-HSA-5693568,Q06609
R-HSA-5693568,Q96B01
R-HSA-5693568,Q92993
R-HSA-5693568,O43542
R-HSA-5693568,Q9UQ84
R-HSA-5693568,P51530
R-HSA-5693568,Q14191
R-HSA-5693568,Q96E14
R-HSA-5693568,Q13472
R-HSA-5693568,Q9H9A7
R-HSA-5693568,P54132
R-HSA-5693568,P38398
R-HSA-5693568,Q99728
R-HSA-5693568,Q6PIW4
