pathwayID,nbID
R-HSA-5620920,53
R-HSA-187687,36
R-HSA-4791275,34
R-HSA-5619109,1
R-HSA-163210,20
R-HSA-163125,93
R-HSA-5688890,8
R-HSA-8982491,26
R-HSA-9669921,1
R-HSA-416550,8
R-HSA-186797,50
R-HSA-162582,2529
R-HSA-199220,20
R-HSA-380612,2
R-HSA-2894858,59
R-HSA-77387,30
R-HSA-9034013,2
R-HSA-2160456,1
R-HSA-9616333,1
R-HSA-8934593,17
R-HSA-9958790,35
R-HSA-193697,9
R-HSA-373755,64
R-HSA-75035,15
R-HSA-5652227,2
R-HSA-9671793,21
R-HSA-451326,30
R-HSA-9823587,6
R-HSA-419408,14
R-HSA-1475029,12
R-HSA-9682706,6
R-HSA-4549380,1
R-HSA-5655291,12
R-HSA-3301854,40
R-HSA-9694631,16
R-HSA-5686938,19
R-HSA-9616334,1
R-HSA-5620922,23
R-HSA-5423599,5
R-HSA-2644602,59
R-HSA-5619107,36
R-HSA-373752,44
R-HSA-9727281,4
R-HSA-168638,33
R-HSA-8866427,16
R-HSA-6806664,3
R-HSA-180746,38
R-HSA-9662360,68
R-HSA-209563,4
R-HSA-9034015,19
R-HSA-201688,8
R-HSA-5579020,1
R-HSA-8934903,11
R-HSA-389513,21
R-HSA-4570571,1
R-HSA-5619108,1
R-HSA-392499,2101
R-HSA-373753,22
R-HSA-392451,25
R-HSA-9665348,17
R-HSA-5693571,51
R-HSA-9931510,22
R-HSA-9637698,1
R-HSA-163560,24
R-HSA-425986,9
R-HSA-192456,7
R-HSA-192105,33
R-HSA-204626,4
R-HSA-1187000,26
R-HSA-4724325,1
R-HSA-3248023,1
R-HSA-9026395,2
R-HSA-5579021,1
R-HSA-201556,31
R-HSA-9865125,3
R-HSA-2022923,12
R-HSA-1296346,12
R-HSA-1980143,75
R-HSA-157118,193
R-HSA-8956320,14
R-HSA-203641,5
R-HSA-171319,23
R-HSA-74182,10
R-HSA-9674428,1
R-HSA-5624138,5
R-HSA-5602410,1
R-HSA-9753281,30
R-HSA-500792,472
R-HSA-8932506,4
