pathwayID,entityID
R-HSA-5357609,P46976
R-HSA-933543,Q13158
R-HSA-933543,Q14790
R-HSA-933543,Q92851
R-HSA-933543,Q13546
R-HSA-933543,Q7Z434
R-HSA-933543,Q9BYX4
R-HSA-933543,O95786
R-HSA-933543,Q9C037
R-HSA-933543,Q14258
R-HSA-933543,Q8IUD6
R-HSA-933543,O14920
R-HSA-933543,Q9Y6K9
R-HSA-933543,O15111
R-HSA-72312,Q9H633
R-HSA-72312,Q8TD47
R-HSA-72312,P22090
R-HSA-72312,P62701
R-HSA-72312,Q9BUL9
R-HSA-72312,P62841
R-HSA-72312,P62244
R-HSA-72312,P62263
R-HSA-72312,P15880
R-HSA-72312,Q96GA3
R-HSA-72312,P46782
R-HSA-72312,P61247
R-HSA-72312,O95059
R-HSA-72312,P62269
R-HSA-72312,P62241
R-HSA-72312,P62861
R-HSA-72312,P62847
R-HSA-72312,P78346
R-HSA-72312,P62854
R-HSA-72312,Q13895
R-HSA-72312,P62277
R-HSA-72312,Q9BVS4
R-HSA-72312,P39019
R-HSA-72312,P62249
R-HSA-72312,P42677
R-HSA-72312,Q71UM5
R-HSA-72312,P62081
R-HSA-72312,P78345
R-HSA-72312,Q9BRS2
R-HSA-72312,P08865
R-HSA-72312,P62851
R-HSA-72312,P62273
R-HSA-72312,P62753
R-HSA-72312,P25398
R-HSA-72312,P46781
R-HSA-72312,P08708
R-HSA-72312,P62280
R-HSA-72312,P63220
R-HSA-72312,Q9ULX3
R-HSA-72312,Q9NRX1
R-HSA-72312,P23396
R-HSA-72312,P62857
R-HSA-72312,P48730
R-HSA-72312,P49674
R-HSA-72312,O75818
R-HSA-72312,Q2NL82
R-HSA-72312,P46783
R-HSA-72312,P62979
R-HSA-72312,P62266
R-HSA-72312,P60866
R-HSA-72312,O14730
R-HSA-72312,O00567
R-HSA-72312,P22087
R-HSA-72312,Q9Y2X3
R-HSA-72312,P55769
R-HSA-72312,O43818
R-HSA-72312,Q68CQ4
R-HSA-72312,O75691
R-HSA-72312,P78316
R-HSA-72312,Q9BVI4
R-HSA-72312,Q92979
R-HSA-72312,Q14690
R-HSA-72312,Q9NQZ2
R-HSA-72312,Q14692
R-HSA-72312,Q9Y2P8
R-HSA-72312,Q9Y324
R-HSA-72312,Q96G21
R-HSA-72312,Q9NV31
R-HSA-72312,O00566
R-HSA-72312,Q969X6
R-HSA-72312,Q15061
R-HSA-72312,Q8IWA0
R-HSA-72312,Q9H583
R-HSA-72312,Q8TED0
R-HSA-72312,Q13601
R-HSA-72312,Q9H0S4
R-HSA-72312,Q9Y3A2
R-HSA-72312,Q9NV06
R-HSA-72312,Q9H8H0
R-HSA-72312,Q12788
R-HSA-72312,Q9NYH9
R-HSA-72312,Q9Y5J1
R-HSA-72312,Q15269
R-HSA-72312,Q9UNX4
R-HSA-72312,Q8NI36
R-HSA-72312,Q9Y6V7
R-HSA-72312,Q8IY37
R-HSA-72312,Q9Y2R4
R-HSA-72312,Q5TAP6
R-HSA-72312,Q9BVJ6
R-HSA-72312,O15213
R-HSA-72312,Q96EU6
R-HSA-72312,Q9H6R4
R-HSA-72312,Q9Y3A4
R-HSA-72312,Q9BV38
R-HSA-72312,Q8IZL8
R-HSA-72312,Q9NXF1
R-HSA-72312,Q5SY16
R-HSA-72312,Q9Y4W2
R-HSA-72312,Q9H4L4
R-HSA-72312,Q14137
R-HSA-72312,O00541
R-HSA-72312,Q9GZL7
R-HSA-5637812,P07900
R-HSA-5637812,P00533
R-HSA-5637812,Q16543
R-HSA-5637812,Q13480
R-HSA-5637812,P01133
R-HSA-5637812,P19174
R-HSA-5637812,P01111
R-HSA-5637812,P01112
R-HSA-5637812,P22681
R-HSA-5637812,P29353
R-HSA-5637812,Q07889
R-HSA-5637812,P27986
R-HSA-5637812,P42336
R-HSA-9616334,Q96FI4
R-HSA-179409,O60566
R-HSA-179409,Q13257
R-HSA-179409,O43684
R-HSA-179409,Q12834
R-HSA-179409,P30260
R-HSA-179409,Q16763
R-HSA-179409,Q96DE5
R-HSA-179409,Q8NHZ8
R-HSA-179409,Q9UJX2
R-HSA-179409,P60006
R-HSA-179409,Q9H1A4
R-HSA-179409,O00762
R-HSA-179409,Q9NYG5
R-HSA-179409,Q9UM13
R-HSA-179409,P51668
R-HSA-179409,P51965
R-HSA-179409,Q9UJX5
R-HSA-179409,Q13042
R-HSA-179409,Q9UJX4
R-HSA-179409,Q9UJX6
R-HSA-179409,Q9UJX3
R-HSA-179409,P51955
R-HSA-179409,P0CG48
R-HSA-179409,P62987
R-HSA-179409,P0CG47
R-HSA-179409,P62979
R-HSA-9026527,P19174
R-HSA-9026527,Q16620
R-HSA-9026527,P34130
R-HSA-9026527,P23560
R-HSA-162582,P19793
R-HSA-162582,Q13133
R-HSA-162582,P28702
R-HSA-162582,P48552
R-HSA-162582,P55055
R-HSA-162582,Q9Y618
R-HSA-162582,O75376
R-HSA-162582,Q15788
R-HSA-162582,Q9HCE1
R-HSA-162582,Q9H9G7
R-HSA-162582,Q9HCK5
R-HSA-162582,Q9UL18
R-HSA-162582,Q9HCJ0
R-HSA-162582,Q9UPQ9
R-HSA-162582,Q8NDV7
R-HSA-162582,Q9UKV8
R-HSA-162582,O15379
R-HSA-162582,Q13227
R-HSA-162582,O60907
R-HSA-162582,Q9BZK7
R-HSA-162582,O95477
R-HSA-162582,Q09472
R-HSA-162582,O75164
R-HSA-162582,Q9Y4C1
R-HSA-162582,Q8NB78
R-HSA-162582,O60341
R-HSA-162582,Q15185
R-HSA-162582,Q92731
R-HSA-162582,P08238
R-HSA-162582,P07900
R-HSA-162582,Q13451
R-HSA-162582,Q02790
R-HSA-162582,Q08752
R-HSA-162582,P53041
R-HSA-162582,P03372
R-HSA-162582,Q92793
R-HSA-162582,Q4ZG55
R-HSA-162582,P55317
R-HSA-162582,P23771
R-HSA-162582,Q86X55
R-HSA-162582,P52657
R-HSA-162582,P52655
R-HSA-162582,P17844
R-HSA-162582,P20226
R-HSA-162582,Q99873
R-HSA-162582,Q99966
R-HSA-162582,Q92993
R-HSA-162582,Q92831
R-HSA-162582,Q9Y6Q9
R-HSA-162582,O94953
R-HSA-162582,P62805
R-HSA-162582,Q9BTM1
R-HSA-162582,Q16777
R-HSA-162582,Q93077
R-HSA-162582,Q6FI13
R-HSA-162582,Q71UI9
R-HSA-162582,Q99878
R-HSA-162582,P16104
R-HSA-162582,P20671
R-HSA-162582,P0C5Y9
R-HSA-162582,P04908
R-HSA-162582,P84243
R-HSA-162582,Q71DI3
