top_pathway,nb_uniprot_ids,weighted_clique_size
Autophagy,140,9730
CellCycle,667,220780
CellCellCommunication,323,49770
CellularResponseToStimuli,868,376278
ChromatinOrganization,345,58996
CircadianClock,111,6105
DevelopmentalBiology,1416,962578
DigestionAndAbsorption,28,378
Disease,2534,2922153
DNARepair,314,49141
DNAReplication,153,11325
DrugADME,111,6105
ExtracellularMatrixOrganization,310,47895
GeneExpression(Transcription),1539,1166628
Hemostasis,717,212226
ImmuneSystem,2313,2297296
Metabolism,2216,2445366
MetabolismOfProteins,2113,2196423
MetabolismOfRNA,747,15
MuscleContraction,198,666
NeuronalSystem,400,69378
OrganelleBiogenesisAndMaintenance,285,28
ProgrammedCellDeath,203,10
ProteinLocalization,166,13695
Reproduction,127,8001
SensoryPerception,639,203841
SignalTransduction,2586,3196656
TransportOfSmallMolecules,716,255970
VesicleMediatedTransport,746,209628
