top_pathway,nb_uniprot_ids
Autophagy,140
CellCycle,667
CellCellCommunication,323
CellularResponseToStimuli,868
ChromatinOrganization,345
CircadianClock,111
DevelopmentalBiology,1416
DigestionAndAbsorption,28
Disease,2534
DNARepair,314
DNAReplication,153
DrugADME,111
ExtracellularMatrixOrganization,310
GeneExpression(Transcription),1539
Hemostasis,717
ImmuneSystem,2313
Metabolism,2216
MetabolismOfProteins,2113
MetabolismOfRNA,747
MuscleContraction,198
NeuronalSystem,400
OrganelleBiogenesisAndMaintenance,285
ProgrammedCellDeath,203
ProteinLocalization,166
Reproduction,127
SensoryPerception,639
SignalTransduction,2586
TransportOfSmallMolecules,716
VesicleMediatedTransport,746
